,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,90.6,1.0,90.6,1.0
1,Alabama,41.9,49.0,42.4,48.0
2,Arkansas,42.0,48.0,42.4,48.0
3,Arizona,54.2,33.0,55.1,33.0
4,California,74.3,4.0,75.7,4.0
5,Colorado,69.0,11.0,70.8,10.0
6,Connecticut,70.5,8.0,71.9,7.0
7,Delaware,39.8,50.0,39.0,50.0
8,Florida,50.7,39.0,52.0,38.0
9,Georgia,43.7,46.0,44.1,46.0
10,Hawaii,76.4,3.0,77.1,3.0
11,Iowa,56.5,28.0,58.4,28.0
12,Idaho,58.7,26.0,59.2,26.0
13,Illinois,69.9,9.0,71.7,8.0
14,Indiana,49.4,41.0,50.1,41.0
15,Kansas,52.3,36.0,53.7,36.0
16,Kentucky,56.4,29.0,56.9,29.0
17,Louisiana,47.4,44.0,48.4,44.0
18,Massachusetts,83.8,2.0,86.3,2.0
19,Maryland,65.6,14.0,66.7,14.0
20,Maine,57.8,27.0,58.5,27.0
21,Michigan,66.7,13.0,68.0,13.0
22,Minnesota,64.4,15.0,65.6,15.0
23,Missouri,51.5,37.0,52.6,37.0
24,Mississippi,42.2,47.0,43.2,47.0
25,Montana,64.0,16.0,64.9,16.0
26,North Carolina,49.5,40.0,50.6,40.0
27,North Dakota,59.5,22.0,59.8,24.0
28,Nebraska,67.4,12.0,68.5,12.0
29,New Hampshire,62.1,19.0,63.6,18.0
30,New Jersey,71.9,5.0,72.7,5.0
31,New Mexico,61.6,21.0,62.4,21.0
32,Nevada,55.5,30.0,55.5,30.0
33,New York,69.4,10.0,70.3,11.0
34,Ohio,54.3,32.0,55.1,33.0
35,Oklahoma,54.5,31.0,55.3,31.0
36,Oregon,71.4,6.0,72.3,6.0
37,Pennsylvania,59.0,24.0,60.0,23.0
38,Rhode Island,53.5,35.0,54.2,35.0
39,South Carolina,48.2,43.0,48.8,43.0
40,South Dakota,54.0,34.0,55.2,32.0
41,Tennessee,47.3,45.0,47.9,45.0
42,Texas,50.8,38.0,51.7,39.0
43,Utah,59.3,23.0,59.5,25.0
44,Virginia,58.8,25.0,60.5,22.0
45,Vermont,62.4,18.0,62.8,20.0
46,Washington,70.7,7.0,71.6,9.0
47,Wisconsin,61.7,20.0,63.5,19.0
48,West Virginia,48.8,42.0,49.7,42.0
49,Wyoming,62.7,17.0,63.8,17.0
50,United States,60.2,,61.2,
51,District of Columbia,99.9,,102.6,
