,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,429.9,5.0,523.8,3.0
1,Alabama,100.7,50.0,112.7,50.0
2,Arkansas,231.6,27.0,244.9,30.0
3,Arizona,132.9,47.0,146.8,47.0
4,California,356.2,12.0,386.6,11.0
5,Colorado,356.4,11.0,385.0,12.0
6,Connecticut,396.9,8.0,427.5,7.0
7,Delaware,262.6,20.0,288.8,18.0
8,Florida,160.5,41.0,174.7,41.0
9,Georgia,137.3,46.0,149.9,46.0
10,Hawaii,250.5,24.0,267.0,25.0
11,Iowa,155.7,44.0,171.0,44.0
12,Idaho,208.8,32.0,224.2,33.0
13,Illinois,228.8,28.0,253.7,27.0
14,Indiana,160.0,42.0,172.5,43.0
15,Kansas,196.7,35.0,209.7,36.0
16,Kentucky,227.5,29.0,249.1,28.0
17,Louisiana,264.6,19.0,275.5,21.0
18,Massachusetts,626.6,1.0,666.4,1.0
19,Maryland,257.4,21.0,284.2,20.0
20,Maine,474.6,3.0,504.5,4.0
21,Michigan,265.4,18.0,287.4,19.0
22,Minnesota,250.7,23.0,274.4,23.0
23,Missouri,193.7,36.0,209.8,35.0
24,Mississippi,159.0,43.0,173.0,42.0
25,Montana,295.3,16.0,320.6,16.0
26,North Carolina,243.6,26.0,265.5,26.0
27,North Dakota,188.4,37.0,204.3,37.0
28,Nebraska,254.7,22.0,275.2,22.0
29,New Hampshire,307.3,15.0,330.8,15.0
30,New Jersey,220.7,30.0,245.1,29.0
31,New Mexico,388.8,9.0,407.2,10.0
32,Nevada,211.6,31.0,226.6,32.0
33,New York,291.1,17.0,313.5,17.0
34,Ohio,245.1,25.0,272.2,24.0
35,Oklahoma,401.4,7.0,411.3,9.0
36,Oregon,522.3,2.0,571.0,2.0
37,Pennsylvania,206.2,33.0,227.0,31.0
38,Rhode Island,409.5,6.0,433.1,6.0
39,South Carolina,174.1,39.0,186.0,40.0
40,South Dakota,179.0,38.0,195.1,38.0
41,Tennessee,153.0,45.0,164.1,45.0
42,Texas,111.8,49.0,123.7,49.0
43,Utah,335.5,14.0,354.7,14.0
44,Virginia,171.9,40.0,193.2,39.0
45,Vermont,452.3,4.0,486.2,5.0
46,Washington,373.3,10.0,413.8,8.0
47,Wisconsin,200.2,34.0,216.0,34.0
48,West Virginia,127.8,48.0,140.5,48.0
49,Wyoming,343.2,13.0,360.9,13.0
50,United States,247.4,,268.6,
51,District of Columbia,508.6,,562.1,
