,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
33956,2020,2020 Annual,Mental Health Providers,Alaska,3.0,523.8,2.0,,,AHR data,
33957,2020,2020 Annual,Mental Health Providers,Alabama,50.0,112.7,-1.27,,,AHR data,
33958,2020,2020 Annual,Mental Health Providers,Arkansas,30.0,244.9,-0.19,,,AHR data,
33959,2020,2020 Annual,Mental Health Providers,Arizona,47.0,146.8,-0.99,,,AHR data,
33960,2020,2020 Annual,Mental Health Providers,California,11.0,386.6,0.96,,,AHR data,
33961,2020,2020 Annual,Mental Health Providers,Colorado,12.0,385.0,0.95,,,AHR data,
33962,2020,2020 Annual,Mental Health Providers,Connecticut,7.0,427.5,1.29,,,AHR data,
33963,2020,2020 Annual,Mental Health Providers,Delaware,18.0,288.8,0.16,,,AHR data,
33964,2020,2020 Annual,Mental Health Providers,Florida,41.0,174.7,-0.76,,,AHR data,
33965,2020,2020 Annual,Mental Health Providers,Georgia,46.0,149.9,-0.96,,,AHR data,
33966,2020,2020 Annual,Mental Health Providers,Hawaii,25.0,267.0,-0.01,,,AHR data,
33967,2020,2020 Annual,Mental Health Providers,Iowa,44.0,171.0,-0.79,,,AHR data,
33968,2020,2020 Annual,Mental Health Providers,Idaho,33.0,224.2,-0.36,,,AHR data,
33969,2020,2020 Annual,Mental Health Providers,Illinois,27.0,253.7,-0.12,,,AHR data,
33970,2020,2020 Annual,Mental Health Providers,Indiana,43.0,172.5,-0.78,,,AHR data,
33971,2020,2020 Annual,Mental Health Providers,Kansas,36.0,209.7,-0.48,,,AHR data,
33972,2020,2020 Annual,Mental Health Providers,Kentucky,28.0,249.1,-0.16,,,AHR data,
33973,2020,2020 Annual,Mental Health Providers,Louisiana,21.0,275.5,0.06,,,AHR data,
33974,2020,2020 Annual,Mental Health Providers,Massachusetts,1.0,666.4,2.0,,,AHR data,
33975,2020,2020 Annual,Mental Health Providers,Maryland,20.0,284.2,0.13,,,AHR data,
33976,2020,2020 Annual,Mental Health Providers,Maine,4.0,504.5,1.92,,,AHR data,
33977,2020,2020 Annual,Mental Health Providers,Michigan,19.0,287.4,0.15,,,AHR data,
33978,2020,2020 Annual,Mental Health Providers,Minnesota,23.0,274.4,0.05,,,AHR data,
33979,2020,2020 Annual,Mental Health Providers,Missouri,35.0,209.8,-0.48,,,AHR data,
33980,2020,2020 Annual,Mental Health Providers,Mississippi,42.0,173.0,-0.78,,,AHR data,
33981,2020,2020 Annual,Mental Health Providers,Montana,16.0,320.6,0.42,,,AHR data,
33982,2020,2020 Annual,Mental Health Providers,North Carolina,26.0,265.5,-0.03,,,AHR data,
33983,2020,2020 Annual,Mental Health Providers,North Dakota,37.0,204.3,-0.52,,,AHR data,
33984,2020,2020 Annual,Mental Health Providers,Nebraska,22.0,275.2,0.05,,,AHR data,
33985,2020,2020 Annual,Mental Health Providers,New Hampshire,15.0,330.8,0.51,,,AHR data,
33986,2020,2020 Annual,Mental Health Providers,New Jersey,29.0,245.1,-0.19,,,AHR data,
33987,2020,2020 Annual,Mental Health Providers,New Mexico,10.0,407.2,1.13,,,AHR data,
33988,2020,2020 Annual,Mental Health Providers,Nevada,32.0,226.6,-0.34,,,AHR data,
33989,2020,2020 Annual,Mental Health Providers,New York,17.0,313.5,0.36,,,AHR data,
33990,2020,2020 Annual,Mental Health Providers,Ohio,24.0,272.2,0.03,,,AHR data,
33991,2020,2020 Annual,Mental Health Providers,Oklahoma,9.0,411.3,1.16,,,AHR data,
33992,2020,2020 Annual,Mental Health Providers,Oregon,2.0,571.0,2.0,,,AHR data,
33993,2020,2020 Annual,Mental Health Providers,Pennsylvania,31.0,227.0,-0.34,,,AHR data,
33994,2020,2020 Annual,Mental Health Providers,Rhode Island,6.0,433.1,1.34,,,AHR data,
33995,2020,2020 Annual,Mental Health Providers,South Carolina,40.0,186.0,-0.67,,,AHR data,
33996,2020,2020 Annual,Mental Health Providers,South Dakota,38.0,195.1,-0.6,,,AHR data,
33997,2020,2020 Annual,Mental Health Providers,Tennessee,45.0,164.1,-0.85,,,AHR data,
33998,2020,2020 Annual,Mental Health Providers,Texas,49.0,123.7,-1.18,,,AHR data,
33999,2020,2020 Annual,Mental Health Providers,Utah,14.0,354.7,0.7,,,AHR data,
34000,2020,2020 Annual,Mental Health Providers,Virginia,39.0,193.2,-0.61,,,AHR data,
34001,2020,2020 Annual,Mental Health Providers,Vermont,5.0,486.2,1.77,,,AHR data,
34002,2020,2020 Annual,Mental Health Providers,Washington,8.0,413.8,1.18,,,AHR data,
34003,2020,2020 Annual,Mental Health Providers,Wisconsin,34.0,216.0,-0.43,,,AHR data,
34004,2020,2020 Annual,Mental Health Providers,West Virginia,48.0,140.5,-1.04,,,AHR data,
34005,2020,2020 Annual,Mental Health Providers,Wyoming,13.0,360.9,0.75,,,AHR data,
34006,2020,2020 Annual,Mental Health Providers,United States,,268.6,,,,AHR data,
34007,2020,2020 Annual,Mental Health Providers,District of Columbia,,562.1,,,,AHR data,
