,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
40451,2019,2019 Annual,Mental Health Providers,Alaska,5.0,429.9,1.6,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40452,2019,2019 Annual,Mental Health Providers,Alabama,50.0,100.7,-1.28,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40453,2019,2019 Annual,Mental Health Providers,Arkansas,27.0,231.6,-0.14,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40454,2019,2019 Annual,Mental Health Providers,Arizona,47.0,132.9,-1.0,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40455,2019,2019 Annual,Mental Health Providers,California,12.0,356.2,0.95,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40456,2019,2019 Annual,Mental Health Providers,Colorado,11.0,356.4,0.95,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40457,2019,2019 Annual,Mental Health Providers,Connecticut,8.0,396.9,1.31,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40458,2019,2019 Annual,Mental Health Providers,Delaware,20.0,262.6,0.13,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40459,2019,2019 Annual,Mental Health Providers,Florida,41.0,160.5,-0.76,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40460,2019,2019 Annual,Mental Health Providers,Georgia,46.0,137.3,-0.96,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40461,2019,2019 Annual,Mental Health Providers,Hawaii,24.0,250.5,0.03,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40462,2019,2019 Annual,Mental Health Providers,Iowa,44.0,155.7,-0.8,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40463,2019,2019 Annual,Mental Health Providers,Idaho,32.0,208.8,-0.34,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40464,2019,2019 Annual,Mental Health Providers,Illinois,28.0,228.8,-0.16,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40465,2019,2019 Annual,Mental Health Providers,Indiana,42.0,160.0,-0.76,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40466,2019,2019 Annual,Mental Health Providers,Kansas,35.0,196.7,-0.44,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40467,2019,2019 Annual,Mental Health Providers,Kentucky,29.0,227.5,-0.17,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40468,2019,2019 Annual,Mental Health Providers,Louisiana,19.0,264.6,0.15,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40469,2019,2019 Annual,Mental Health Providers,Massachusetts,1.0,626.6,2.0,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40470,2019,2019 Annual,Mental Health Providers,Maryland,21.0,257.4,0.09,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40471,2019,2019 Annual,Mental Health Providers,Maine,3.0,474.6,1.99,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40472,2019,2019 Annual,Mental Health Providers,Michigan,18.0,265.4,0.16,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40473,2019,2019 Annual,Mental Health Providers,Minnesota,23.0,250.7,0.03,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40474,2019,2019 Annual,Mental Health Providers,Missouri,36.0,193.7,-0.47,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40475,2019,2019 Annual,Mental Health Providers,Mississippi,43.0,159.0,-0.77,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40476,2019,2019 Annual,Mental Health Providers,Montana,16.0,295.3,0.42,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40477,2019,2019 Annual,Mental Health Providers,North Carolina,26.0,243.6,-0.03,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40478,2019,2019 Annual,Mental Health Providers,North Dakota,37.0,188.4,-0.52,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40479,2019,2019 Annual,Mental Health Providers,Nebraska,22.0,254.7,0.06,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40480,2019,2019 Annual,Mental Health Providers,New Hampshire,15.0,307.3,0.52,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40481,2019,2019 Annual,Mental Health Providers,New Jersey,30.0,220.7,-0.23,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40482,2019,2019 Annual,Mental Health Providers,New Mexico,9.0,388.8,1.24,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40483,2019,2019 Annual,Mental Health Providers,Nevada,31.0,211.6,-0.31,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40484,2019,2019 Annual,Mental Health Providers,New York,17.0,291.1,0.38,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40485,2019,2019 Annual,Mental Health Providers,Ohio,25.0,245.1,-0.02,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40486,2019,2019 Annual,Mental Health Providers,Oklahoma,7.0,401.4,1.35,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40487,2019,2019 Annual,Mental Health Providers,Oregon,2.0,522.3,2.0,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40488,2019,2019 Annual,Mental Health Providers,Pennsylvania,33.0,206.2,-0.36,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40489,2019,2019 Annual,Mental Health Providers,Rhode Island,6.0,409.5,1.42,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40490,2019,2019 Annual,Mental Health Providers,South Carolina,39.0,174.1,-0.64,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40491,2019,2019 Annual,Mental Health Providers,South Dakota,38.0,179.0,-0.6,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40492,2019,2019 Annual,Mental Health Providers,Tennessee,45.0,153.0,-0.83,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40493,2019,2019 Annual,Mental Health Providers,Texas,49.0,111.8,-1.19,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40494,2019,2019 Annual,Mental Health Providers,Utah,14.0,335.5,0.77,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40495,2019,2019 Annual,Mental Health Providers,Virginia,40.0,171.9,-0.66,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40496,2019,2019 Annual,Mental Health Providers,Vermont,4.0,452.3,1.79,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40497,2019,2019 Annual,Mental Health Providers,Washington,10.0,373.3,1.1,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40498,2019,2019 Annual,Mental Health Providers,Wisconsin,34.0,200.2,-0.41,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40499,2019,2019 Annual,Mental Health Providers,West Virginia,48.0,127.8,-1.05,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40500,2019,2019 Annual,Mental Health Providers,Wyoming,13.0,343.2,0.84,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40501,2019,2019 Annual,Mental Health Providers,United States,,247.4,,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
40502,2019,2019 Annual,Mental Health Providers,District of Columbia,,508.6,,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
