,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,309.6,4.0,321.1,4.0
1,Alabama,193.0,46.0,203.5,46.0
2,Arkansas,193.9,45.0,206.0,45.0
3,Arizona,207.5,39.0,214.9,41.0
4,California,180.4,48.0,189.7,48.0
5,Colorado,246.6,24.0,256.0,24.0
6,Connecticut,264.6,15.0,277.9,15.0
7,Delaware,276.4,8.0,287.5,10.0
8,Florida,236.1,30.0,252.0,27.0
9,Georgia,212.9,37.0,222.4,38.0
10,Hawaii,212.5,38.0,223.5,37.0
11,Iowa,233.7,31.0,245.2,31.0
12,Idaho,200.9,43.0,211.4,43.0
13,Illinois,237.1,29.0,249.6,28.0
14,Indiana,219.6,33.0,231.9,34.0
15,Kansas,244.7,25.0,255.1,25.0
16,Kentucky,257.2,18.0,270.1,17.0
17,Louisiana,206.4,41.0,217.2,40.0
18,Massachusetts,350.6,1.0,362.8,1.0
19,Maryland,253.6,19.0,263.8,20.0
20,Maine,313.2,3.0,330.8,3.0
21,Michigan,267.6,13.0,278.8,14.0
22,Minnesota,274.9,10.0,291.4,8.0
23,Missouri,246.7,23.0,259.4,23.0
24,Mississippi,218.5,34.0,232.3,33.0
25,Montana,248.2,21.0,261.5,22.0
26,North Carolina,243.2,26.0,253.2,26.0
27,North Dakota,286.0,7.0,302.6,7.0
28,Nebraska,258.0,16.0,272.5,16.0
29,New Hampshire,286.8,6.0,303.2,6.0
30,New Jersey,195.4,44.0,206.1,44.0
31,New Mexico,238.2,28.0,247.9,30.0
32,Nevada,172.2,50.0,182.8,50.0
33,New York,275.6,9.0,290.6,9.0
34,Ohio,247.2,22.0,261.8,21.0
35,Oklahoma,201.9,42.0,212.4,42.0
36,Oregon,232.9,32.0,244.4,32.0
37,Pennsylvania,271.5,11.0,281.8,12.0
38,Rhode Island,327.1,2.0,344.1,2.0
39,South Carolina,215.0,36.0,226.2,36.0
40,South Dakota,266.0,14.0,279.3,13.0
41,Tennessee,257.5,17.0,268.5,18.0
42,Texas,182.6,47.0,191.7,47.0
43,Utah,177.5,49.0,187.5,49.0
44,Virginia,217.5,35.0,230.3,35.0
45,Vermont,293.6,5.0,305.3,5.0
46,Washington,238.4,27.0,248.4,29.0
47,Wisconsin,253.5,20.0,264.5,19.0
48,West Virginia,267.7,12.0,282.7,11.0
49,Wyoming,207.5,39.0,221.3,39.0
50,United States,230.4,,241.9,
51,District of Columbia,478.9,,489.3,
