,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
42588,2020,2020 Annual,Primary Care Providers,Alaska,4.0,321.1,1.93,,,AHR data,
42589,2020,2020 Annual,Primary Care Providers,Alabama,46.0,203.5,-0.93,,,AHR data,
42590,2020,2020 Annual,Primary Care Providers,Arkansas,45.0,206.0,-0.87,,,AHR data,
42591,2020,2020 Annual,Primary Care Providers,Arizona,41.0,214.9,-0.66,,,AHR data,
42592,2020,2020 Annual,Primary Care Providers,California,48.0,189.7,-1.27,,,AHR data,
42593,2020,2020 Annual,Primary Care Providers,Colorado,24.0,256.0,0.34,,,AHR data,
42594,2020,2020 Annual,Primary Care Providers,Connecticut,15.0,277.9,0.88,,,AHR data,
42595,2020,2020 Annual,Primary Care Providers,Delaware,10.0,287.5,1.11,,,AHR data,
42596,2020,2020 Annual,Primary Care Providers,Florida,27.0,252.0,0.25,,,AHR data,
42597,2020,2020 Annual,Primary Care Providers,Georgia,38.0,222.4,-0.47,,,AHR data,
42598,2020,2020 Annual,Primary Care Providers,Hawaii,37.0,223.5,-0.45,,,AHR data,
42599,2020,2020 Annual,Primary Care Providers,Iowa,31.0,245.2,0.08,,,AHR data,
42600,2020,2020 Annual,Primary Care Providers,Idaho,43.0,211.4,-0.74,,,AHR data,
42601,2020,2020 Annual,Primary Care Providers,Illinois,28.0,249.6,0.19,,,AHR data,
42602,2020,2020 Annual,Primary Care Providers,Indiana,34.0,231.9,-0.24,,,AHR data,
42603,2020,2020 Annual,Primary Care Providers,Kansas,25.0,255.1,0.32,,,AHR data,
42604,2020,2020 Annual,Primary Care Providers,Kentucky,17.0,270.1,0.69,,,AHR data,
42605,2020,2020 Annual,Primary Care Providers,Louisiana,40.0,217.2,-0.6,,,AHR data,
42606,2020,2020 Annual,Primary Care Providers,Massachusetts,1.0,362.8,2.0,,,AHR data,
42607,2020,2020 Annual,Primary Care Providers,Maryland,20.0,263.8,0.53,,,AHR data,
42608,2020,2020 Annual,Primary Care Providers,Maine,3.0,330.8,2.0,,,AHR data,
42609,2020,2020 Annual,Primary Care Providers,Michigan,14.0,278.8,0.9,,,AHR data,
42610,2020,2020 Annual,Primary Care Providers,Minnesota,8.0,291.4,1.2,,,AHR data,
42611,2020,2020 Annual,Primary Care Providers,Missouri,23.0,259.4,0.43,,,AHR data,
42612,2020,2020 Annual,Primary Care Providers,Mississippi,33.0,232.3,-0.23,,,AHR data,
42613,2020,2020 Annual,Primary Care Providers,Montana,22.0,261.5,0.48,,,AHR data,
42614,2020,2020 Annual,Primary Care Providers,North Carolina,26.0,253.2,0.27,,,AHR data,
42615,2020,2020 Annual,Primary Care Providers,North Dakota,7.0,302.6,1.48,,,AHR data,
42616,2020,2020 Annual,Primary Care Providers,Nebraska,16.0,272.5,0.74,,,AHR data,
42617,2020,2020 Annual,Primary Care Providers,New Hampshire,6.0,303.2,1.49,,,AHR data,
42618,2020,2020 Annual,Primary Care Providers,New Jersey,44.0,206.1,-0.87,,,AHR data,
42619,2020,2020 Annual,Primary Care Providers,New Mexico,30.0,247.9,0.15,,,AHR data,
42620,2020,2020 Annual,Primary Care Providers,Nevada,50.0,182.8,-1.44,,,AHR data,
42621,2020,2020 Annual,Primary Care Providers,New York,9.0,290.6,1.18,,,AHR data,
42622,2020,2020 Annual,Primary Care Providers,Ohio,21.0,261.8,0.48,,,AHR data,
42623,2020,2020 Annual,Primary Care Providers,Oklahoma,42.0,212.4,-0.72,,,AHR data,
42624,2020,2020 Annual,Primary Care Providers,Oregon,32.0,244.4,0.06,,,AHR data,
42625,2020,2020 Annual,Primary Care Providers,Pennsylvania,12.0,281.8,0.97,,,AHR data,
42626,2020,2020 Annual,Primary Care Providers,Rhode Island,2.0,344.1,2.0,,,AHR data,
42627,2020,2020 Annual,Primary Care Providers,South Carolina,36.0,226.2,-0.38,,,AHR data,
42628,2020,2020 Annual,Primary Care Providers,South Dakota,13.0,279.3,0.91,,,AHR data,
42629,2020,2020 Annual,Primary Care Providers,Tennessee,18.0,268.5,0.65,,,AHR data,
42630,2020,2020 Annual,Primary Care Providers,Texas,47.0,191.7,-1.22,,,AHR data,
42631,2020,2020 Annual,Primary Care Providers,Utah,49.0,187.5,-1.32,,,AHR data,
42632,2020,2020 Annual,Primary Care Providers,Virginia,35.0,230.3,-0.28,,,AHR data,
42633,2020,2020 Annual,Primary Care Providers,Vermont,5.0,305.3,1.54,,,AHR data,
42634,2020,2020 Annual,Primary Care Providers,Washington,29.0,248.4,0.16,,,AHR data,
42635,2020,2020 Annual,Primary Care Providers,Wisconsin,19.0,264.5,0.55,,,AHR data,
42636,2020,2020 Annual,Primary Care Providers,West Virginia,11.0,282.7,0.99,,,AHR data,
42637,2020,2020 Annual,Primary Care Providers,Wyoming,39.0,221.3,-0.5,,,AHR data,
42638,2020,2020 Annual,Primary Care Providers,United States,,241.9,,,,AHR data,
42639,2020,2020 Annual,Primary Care Providers,District of Columbia,,489.3,,,,AHR data,
