,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
50381,2019,2019 Annual,Primary Care Providers,Alaska,4.0,309.6,1.99,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50382,2019,2019 Annual,Primary Care Providers,Alabama,46.0,193.0,-0.94,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50383,2019,2019 Annual,Primary Care Providers,Arkansas,45.0,193.9,-0.92,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50384,2019,2019 Annual,Primary Care Providers,Arizona,39.0,207.5,-0.58,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50385,2019,2019 Annual,Primary Care Providers,California,48.0,180.4,-1.26,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50386,2019,2019 Annual,Primary Care Providers,Colorado,24.0,246.6,0.41,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50387,2019,2019 Annual,Primary Care Providers,Connecticut,15.0,264.6,0.86,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50388,2019,2019 Annual,Primary Care Providers,Delaware,8.0,276.4,1.16,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50389,2019,2019 Annual,Primary Care Providers,Florida,30.0,236.1,0.14,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50390,2019,2019 Annual,Primary Care Providers,Georgia,37.0,212.9,-0.44,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50391,2019,2019 Annual,Primary Care Providers,Hawaii,38.0,212.5,-0.45,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50392,2019,2019 Annual,Primary Care Providers,Iowa,31.0,233.7,0.08,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50393,2019,2019 Annual,Primary Care Providers,Idaho,43.0,200.9,-0.74,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50394,2019,2019 Annual,Primary Care Providers,Illinois,29.0,237.1,0.17,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50395,2019,2019 Annual,Primary Care Providers,Indiana,33.0,219.6,-0.27,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50396,2019,2019 Annual,Primary Care Providers,Kansas,25.0,244.7,0.36,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50397,2019,2019 Annual,Primary Care Providers,Kentucky,18.0,257.2,0.67,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50398,2019,2019 Annual,Primary Care Providers,Louisiana,41.0,206.4,-0.6,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50399,2019,2019 Annual,Primary Care Providers,Massachusetts,1.0,350.6,2.0,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50400,2019,2019 Annual,Primary Care Providers,Maryland,19.0,253.6,0.58,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50401,2019,2019 Annual,Primary Care Providers,Maine,3.0,313.2,2.0,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50402,2019,2019 Annual,Primary Care Providers,Michigan,13.0,267.6,0.93,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50403,2019,2019 Annual,Primary Care Providers,Minnesota,10.0,274.9,1.12,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50404,2019,2019 Annual,Primary Care Providers,Missouri,23.0,246.7,0.41,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50405,2019,2019 Annual,Primary Care Providers,Mississippi,34.0,218.5,-0.3,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50406,2019,2019 Annual,Primary Care Providers,Montana,21.0,248.2,0.45,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50407,2019,2019 Annual,Primary Care Providers,North Carolina,26.0,243.2,0.32,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50408,2019,2019 Annual,Primary Care Providers,North Dakota,7.0,286.0,1.4,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50409,2019,2019 Annual,Primary Care Providers,Nebraska,16.0,258.0,0.69,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50410,2019,2019 Annual,Primary Care Providers,New Hampshire,6.0,286.8,1.42,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50411,2019,2019 Annual,Primary Care Providers,New Jersey,44.0,195.4,-0.88,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50412,2019,2019 Annual,Primary Care Providers,New Mexico,28.0,238.2,0.2,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50413,2019,2019 Annual,Primary Care Providers,Nevada,50.0,172.2,-1.46,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50414,2019,2019 Annual,Primary Care Providers,New York,9.0,275.6,1.14,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50415,2019,2019 Annual,Primary Care Providers,Ohio,22.0,247.2,0.42,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50416,2019,2019 Annual,Primary Care Providers,Oklahoma,42.0,201.9,-0.72,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50417,2019,2019 Annual,Primary Care Providers,Oregon,32.0,232.9,0.06,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50418,2019,2019 Annual,Primary Care Providers,Pennsylvania,11.0,271.5,1.03,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50419,2019,2019 Annual,Primary Care Providers,Rhode Island,2.0,327.1,2.0,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50420,2019,2019 Annual,Primary Care Providers,South Carolina,36.0,215.0,-0.39,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50421,2019,2019 Annual,Primary Care Providers,South Dakota,14.0,266.0,0.89,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
50422,2019,2019 Annual,Primary Care Providers,Tennessee,17.0,257.5,0.68,,,"U.S. HHS, Centers for Medicare & Medicaid Services, National Plan and Provider Enumeration System",2019
