,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
50433,2019,2019 Annual,Public Health Funding,Alabama,11.0,115.0,0.63,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50434,2019,2019 Annual,Public Health Funding,Alaska,1.0,281.0,2.0,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50435,2019,2019 Annual,Public Health Funding,Arizona,47.0,53.0,-0.76,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50436,2019,2019 Annual,Public Health Funding,Arkansas,17.0,108.0,0.47,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50437,2019,2019 Annual,Public Health Funding,California,12.0,114.0,0.61,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50438,2019,2019 Annual,Public Health Funding,Colorado,19.0,101.0,0.31,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50439,2019,2019 Annual,Public Health Funding,Connecticut,28.0,86.0,-0.02,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50440,2019,2019 Annual,Public Health Funding,Delaware,16.0,111.0,0.54,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50441,2019,2019 Annual,Public Health Funding,Florida,39.0,64.0,-0.52,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50442,2019,2019 Annual,Public Health Funding,Georgia,36.0,76.0,-0.25,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50443,2019,2019 Annual,Public Health Funding,Hawaii,3.0,192.0,2.0,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50444,2019,2019 Annual,Public Health Funding,Idaho,4.0,150.0,1.41,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50445,2019,2019 Annual,Public Health Funding,Illinois,37.0,73.0,-0.31,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50446,2019,2019 Annual,Public Health Funding,Indiana,47.0,53.0,-0.76,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50447,2019,2019 Annual,Public Health Funding,Iowa,24.0,91.0,0.09,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50448,2019,2019 Annual,Public Health Funding,Kansas,40.0,60.0,-0.61,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50449,2019,2019 Annual,Public Health Funding,Kentucky,27.0,87.0,0.0,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50450,2019,2019 Annual,Public Health Funding,Louisiana,25.0,89.0,0.04,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
50451,2019,2019 Annual,Public Health Funding,Maine,20.0,99.0,0.27,,,"Trust for America’s Health; U.S. HHS; U.S. Census Bureau, Annual Estimates of the Resident Population",2017-2018
