,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
42692,2020,2020 Annual,Public Health Funding,Alabama,13.0,116.0,0.54,,,AHR data,
42693,2020,2020 Annual,Public Health Funding,Alaska,1.0,289.0,2.0,,,AHR data,
42694,2020,2020 Annual,Public Health Funding,Arizona,46.0,57.0,-0.74,,,AHR data,
42695,2020,2020 Annual,Public Health Funding,Arkansas,18.0,109.0,0.39,,,AHR data,
42696,2020,2020 Annual,Public Health Funding,California,12.0,118.0,0.59,,,AHR data,
42697,2020,2020 Annual,Public Health Funding,Colorado,21.0,104.0,0.28,,,AHR data,
42698,2020,2020 Annual,Public Health Funding,Connecticut,28.0,90.0,-0.02,,,AHR data,
42699,2020,2020 Annual,Public Health Funding,Delaware,17.0,111.0,0.44,,,AHR data,
42700,2020,2020 Annual,Public Health Funding,Florida,39.0,65.0,-0.57,,,AHR data,
42701,2020,2020 Annual,Public Health Funding,Georgia,34.0,83.0,-0.17,,,AHR data,
42702,2020,2020 Annual,Public Health Funding,Hawaii,3.0,205.0,2.0,,,AHR data,
42703,2020,2020 Annual,Public Health Funding,Idaho,5.0,150.0,1.29,,,AHR data,
42704,2020,2020 Annual,Public Health Funding,Illinois,37.0,79.0,-0.26,,,AHR data,
42705,2020,2020 Annual,Public Health Funding,Indiana,48.0,55.0,-0.78,,,AHR data,
42706,2020,2020 Annual,Public Health Funding,Iowa,14.0,114.0,0.5,,,AHR data,
42707,2020,2020 Annual,Public Health Funding,Kansas,40.0,64.0,-0.59,,,AHR data,
42708,2020,2020 Annual,Public Health Funding,Kentucky,27.0,91.0,0.0,,,AHR data,
42709,2020,2020 Annual,Public Health Funding,Louisiana,26.0,94.0,0.07,,,AHR data,
42710,2020,2020 Annual,Public Health Funding,Maine,18.0,109.0,0.39,,,AHR data,
42711,2020,2020 Annual,Public Health Funding,Maryland,20.0,108.0,0.37,,,AHR data,
42712,2020,2020 Annual,Public Health Funding,Massachusetts,9.0,144.0,1.16,,,AHR data,
42713,2020,2020 Annual,Public Health Funding,Michigan,44.0,60.0,-0.68,,,AHR data,
42714,2020,2020 Annual,Public Health Funding,Minnesota,32.0,84.0,-0.15,,,AHR data,
42715,2020,2020 Annual,Public Health Funding,Mississippi,29.0,87.0,-0.09,,,AHR data,
42716,2020,2020 Annual,Public Health Funding,Missouri,41.0,61.0,-0.65,,,AHR data,
42717,2020,2020 Annual,Public Health Funding,Montana,10.0,125.0,0.74,,,AHR data,
42718,2020,2020 Annual,Public Health Funding,Nebraska,24.0,96.0,0.11,,,AHR data,
42719,2020,2020 Annual,Public Health Funding,Nevada,50.0,50.0,-0.89,,,AHR data,
42720,2020,2020 Annual,Public Health Funding,New Hampshire,29.0,87.0,-0.09,,,AHR data,
42721,2020,2020 Annual,Public Health Funding,New Jersey,38.0,69.0,-0.48,,,AHR data,
42722,2020,2020 Annual,Public Health Funding,New Mexico,2.0,226.0,2.0,,,AHR data,
42723,2020,2020 Annual,Public Health Funding,New York,6.0,147.0,1.22,,,AHR data,
42724,2020,2020 Annual,Public Health Funding,North Carolina,41.0,61.0,-0.65,,,AHR data,
42725,2020,2020 Annual,Public Health Funding,North Dakota,11.0,123.0,0.7,,,AHR data,
42726,2020,2020 Annual,Public Health Funding,Ohio,46.0,57.0,-0.74,,,AHR data,
42727,2020,2020 Annual,Public Health Funding,Oklahoma,25.0,95.0,0.09,,,AHR data,
42728,2020,2020 Annual,Public Health Funding,Oregon,31.0,86.0,-0.11,,,AHR data,
42729,2020,2020 Annual,Public Health Funding,Pennsylvania,41.0,61.0,-0.65,,,AHR data,
42730,2020,2020 Annual,Public Health Funding,Rhode Island,6.0,147.0,1.22,,,AHR data,
42731,2020,2020 Annual,Public Health Funding,South Carolina,32.0,84.0,-0.15,,,AHR data,
42732,2020,2020 Annual,Public Health Funding,South Dakota,15.0,112.0,0.46,,,AHR data,
42733,2020,2020 Annual,Public Health Funding,Tennessee,23.0,100.0,0.2,,,AHR data,
42734,2020,2020 Annual,Public Health Funding,Texas,45.0,59.0,-0.7,,,AHR data,
42735,2020,2020 Annual,Public Health Funding,Utah,35.0,81.0,-0.22,,,AHR data,
42736,2020,2020 Annual,Public Health Funding,Vermont,4.0,157.0,1.44,,,AHR data,
42737,2020,2020 Annual,Public Health Funding,Virginia,36.0,80.0,-0.24,,,AHR data,
42738,2020,2020 Annual,Public Health Funding,Washington,22.0,102.0,0.24,,,AHR data,
42739,2020,2020 Annual,Public Health Funding,West Virginia,6.0,147.0,1.22,,,AHR data,
42740,2020,2020 Annual,Public Health Funding,Wisconsin,48.0,55.0,-0.78,,,AHR data,
42741,2020,2020 Annual,Public Health Funding,Wyoming,15.0,112.0,0.46,,,AHR data,
42742,2020,2020 Annual,Public Health Funding,United States,,91.0,,,,AHR data,
42743,2020,2020 Annual,Public Health Funding,District of Columbia,,618.0,,,,AHR data,
