,Unnamed: 0,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,0,Alabama,34.6,26.0,42.1,31.0
1,1,Alaska,33.8,28.0,37.4,46.0
2,2,Arizona,30.6,42.0,39.6,40.0
3,3,Arkansas,31.1,39.0,42.1,31.0
4,4,California,32.4,33.0,41.4,36.0
5,5,Colorado,36.6,17.0,46.4,15.0
6,6,Connecticut,35.0,25.0,49.7,3.0
7,7,Delaware,38.2,11.0,43.8,24.0
8,8,Florida,30.7,41.0,36.9,47.0
9,9,Georgia,29.8,45.0,36.2,49.0
10,10,Hawaii,33.7,29.0,43.7,25.0
11,11,Idaho,32.1,38.0,38.2,44.0
12,12,Illinois,32.2,37.0,38.8,42.0
13,13,Indiana,28.5,47.0,42.1,31.0
14,14,Iowa,40.6,3.0,48.3,8.0
15,15,Kansas,36.0,19.0,46.2,17.0
16,16,Kentucky,36.0,19.0,42.1,31.0
17,17,Louisiana,26.4,49.0,38.7,43.0
18,18,Maine,32.4,33.0,46.4,15.0
19,19,Maryland,39.5,7.0,49.6,4.0
20,20,Massachusetts,37.1,15.0,50.5,1.0
21,21,Michigan,32.3,35.0,40.4,38.0
22,22,Minnesota,39.7,6.0,45.7,20.0
23,23,Mississippi,32.7,31.0,39.4,41.0
24,24,Missouri,36.5,18.0,46.0,19.0
25,25,Montana,35.7,21.0,42.9,27.0
26,26,Nebraska,39.4,8.0,49.0,6.0
27,27,Nevada,32.6,32.0,32.5,50.0
28,28,New Hampshire,33.3,30.0,47.7,12.0
29,29,New Jersey,38.1,12.0,38.1,45.0
30,30,New Mexico,34.3,27.0,43.1,26.0
31,31,New York,28.0,48.0,44.9,21.0
32,32,North Carolina,41.7,2.0,49.2,5.0
33,33,North Dakota,40.0,5.0,47.3,14.0
34,34,Ohio,35.2,24.0,42.8,28.0
35,35,Oklahoma,38.1,12.0,44.8,22.0
36,36,Oregon,30.6,42.0,42.8,28.0
37,37,Pennsylvania,40.3,4.0,48.1,10.0
38,38,Rhode Island,37.1,15.0,50.4,2.0
39,39,South Carolina,35.5,22.0,42.6,30.0
40,40,South Dakota,35.3,23.0,48.5,7.0
41,41,Tennessee,28.6,46.0,41.2,37.0
42,42,Texas,26.4,49.0,40.0,39.0
43,43,Utah,32.3,35.0,41.5,35.0
44,44,Vermont,37.2,14.0,47.6,13.0
45,45,Virginia,38.9,9.0,47.9,11.0
46,46,Washington,38.4,10.0,48.3,8.0
47,47,West Virginia,42.6,1.0,44.3,23.0
48,48,Wisconsin,29.9,44.0,46.1,18.0
49,49,Wyoming,31.0,40.0,36.5,48.0
50,50,District of Columbia,44.2,,48.4,
51,51,United States,35.0,,43.7,
