State,Value_2018,Value_2019
AK,19.36,20.22
AL,9.63,9.83
AR,7.78,8.22
AZ,10.85,10.52
CA,16.58,16.89
CO,10.02,10.17
CT,18.41,18.66
DC,12.03,12.27
DE,10.55,10.52
FL,10.32,10.44
GA,9.62,9.86
HI,29.18,28.72
IA,8.92,9.08
ID,8.17,7.89
IL,9.6,9.56
IN,9.75,9.91
KS,10.72,10.26
KY,8.52,8.61
LA,7.71,7.71
MA,18.5,18.4
MD,11.57,11.24
ME,13.44,14.04
MI,11.4,11.56
MN,10.37,10.33
MO,9.93,9.68
MS,9.24,9.28
MT,8.84,9.02
NC,9.25,9.45
ND,8.91,8.85
NE,9.02,9.08
NH,17.01,17.15
NJ,13.23,13.42
NM,9.35,8.99
NV,8.67,8.78
NY,14.83,14.34
OH,9.94,9.58
OK,8.09,7.86
OR,8.85,8.81
PA,10.1,9.81
RI,18.1,18.49
SC,9.67,10.02
SD,9.97,9.96
TN,9.58,9.69
TX,8.48,8.6
UT,8.21,8.24
VA,9.48,9.52
VT,15.13,15.36
WA,8,8.04
WI,10.58,10.66
WV,8.72,8.49
WY,8.09,8.1
US,10.53,10.54
