Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2019,AK,Total Electric Industry,22.92,19.80,16.94,0.00,NA,20.22
2019,AL,Total Electric Industry,12.53,11.52,5.95,0.00,NA,9.83
2019,AR,Total Electric Industry,9.80,8.78,6.13,11.73,NA,8.22
2019,AZ,Total Electric Industry,12.43,10.25,6.28,9.68,NA,10.52
2019,CA,Total Electric Industry,19.15,16.67,13.40,8.91,NA,16.89
2019,CO,Total Electric Industry,12.18,10.43,7.40,8.70,NA,10.17
2019,CT,Total Electric Industry,21.87,16.75,13.44,13.69,NA,18.66
2019,DC,Total Electric Industry,12.98,12.26,8.22,9.50,NA,12.27
2019,DE,Total Electric Industry,12.55,9.53,7.70,0.00,NA,10.52
2019,FL,Total Electric Industry,11.70,9.27,7.65,8.32,NA,10.44
2019,GA,Total Electric Industry,11.76,10.02,6.17,5.85,NA,9.86
2019,HI,Total Electric Industry,32.06,29.23,25.76,0.00,NA,28.72
2019,IA,Total Electric Industry,12.46,9.99,6.60,0.00,NA,9.08
2019,ID,Total Electric Industry,9.89,7.67,6.08,0.00,NA,7.89
2019,IL,Total Electric Industry,13.03,9.08,6.52,6.91,NA,9.56
2019,IN,Total Electric Industry,12.58,11.03,7.36,10.76,NA,9.91
2019,KS,Total Electric Industry,12.71,10.29,7.35,0.00,NA,10.26
2019,KY,Total Electric Industry,10.80,10.15,5.57,0.00,NA,8.61
2019,LA,Total Electric Industry,9.80,8.91,5.23,9.08,NA,7.71
2019,MA,Total Electric Industry,21.92,16.80,14.76,6.15,NA,18.40
2019,MD,Total Electric Industry,13.12,9.97,7.80,7.37,NA,11.24
2019,ME,Total Electric Industry,17.89,12.83,9.22,0.00,NA,14.04
2019,MI,Total Electric Industry,15.74,11.39,7.07,10.56,NA,11.56
2019,MN,Total Electric Industry,13.04,10.34,7.53,9.49,NA,10.33
2019,MO,Total Electric Industry,11.14,9.07,7.11,7.89,NA,9.68
2019,MS,Total Electric Industry,11.27,10.52,5.85,0.00,NA,9.28
2019,MT,Total Electric Industry,11.13,10.41,5.45,0.00,NA,9.02
2019,NC,Total Electric Industry,11.42,8.81,6.30,8.20,NA,9.45
2019,ND,Total Electric Industry,10.30,9.01,7.94,0.00,NA,8.85
2019,NE,Total Electric Industry,10.77,8.85,7.65,0.00,NA,9.08
2019,NH,Total Electric Industry,20.05,15.93,13.09,0.00,NA,17.15
2019,NJ,Total Electric Industry,15.85,12.23,10.16,8.80,NA,13.42
2019,NM,Total Electric Industry,12.51,9.79,5.48,0.00,NA,8.99
2019,NV,Total Electric Industry,12.00,8.04,6.14,8.51,NA,8.78
2019,NY,Total Electric Industry,17.94,14.06,5.61,12.28,NA,14.34
2019,OH,Total Electric Industry,12.38,9.72,6.55,6.83,NA,9.58
2019,OK,Total Electric Industry,10.21,7.98,5.07,0.00,NA,7.86
2019,OR,Total Electric Industry,11.01,8.85,5.86,9.14,NA,8.81
2019,PA,Total Electric Industry,13.80,8.71,6.41,7.26,NA,9.81
2019,RI,Total Electric Industry,21.73,16.38,15.59,18.49,NA,18.49
2019,SC,Total Electric Industry,12.99,10.58,6.11,0.00,NA,10.02
2019,SD,Total Electric Industry,11.55,9.59,7.81,0.00,NA,9.96
2019,TN,Total Electric Industry,10.87,10.65,5.68,0.00,NA,9.69
2019,TX,Total Electric Industry,11.76,8.06,5.45,6.44,NA,8.60
2019,UT,Total Electric Industry,10.40,8.26,5.98,10.62,NA,8.24
2019,VA,Total Electric Industry,12.07,8.18,6.85,8.27,NA,9.52
2019,VT,Total Electric Industry,17.71,15.98,11.05,0.00,NA,15.36
2019,WA,Total Electric Industry,9.71,8.75,4.80,9.45,NA,8.04
2019,WI,Total Electric Industry,14.18,10.72,7.31,13.85,NA,10.66
2019,WV,Total Electric Industry,11.25,9.16,6.02,0.00,NA,8.49
2019,WY,Total Electric Industry,11.18,9.64,6.73,0.00,NA,8.10
2019,US,Total Electric Industry,13.01,10.68,6.81,9.66,NA,10.54
