Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2018,AK,Total Electric Industry,21.94,18.58,17.10,0.00,NA,19.36
2018,AL,Total Electric Industry,12.18,11.24,6.01,0.00,NA,9.63
2018,AR,Total Electric Industry,9.81,7.75,5.64,11.35,NA,7.78
2018,AZ,Total Electric Industry,12.77,10.64,6.55,10.02,NA,10.85
2018,CA,Total Electric Industry,18.84,16.34,13.20,8.64,NA,16.58
2018,CO,Total Electric Industry,12.15,10.02,7.47,9.00,NA,10.02
2018,CT,Total Electric Industry,21.20,16.76,13.77,12.84,NA,18.41
2018,DC,Total Electric Industry,12.84,11.97,8.30,9.54,NA,12.03
2018,DE,Total Electric Industry,12.53,9.65,7.95,0.00,NA,10.55
2018,FL,Total Electric Industry,11.54,9.19,7.65,8.26,NA,10.32
2018,GA,Total Electric Industry,11.47,9.79,6.00,5.52,NA,9.62
2018,HI,Total Electric Industry,32.47,29.90,26.10,0.00,NA,29.18
2018,IA,Total Electric Industry,12.24,9.68,6.45,0.00,NA,8.92
2018,ID,Total Electric Industry,10.15,7.93,6.47,0.00,NA,8.17
2018,IL,Total Electric Industry,12.77,9.12,6.80,6.75,NA,9.60
2018,IN,Total Electric Industry,12.26,10.60,7.38,10.44,NA,9.75
2018,KS,Total Electric Industry,13.35,10.66,7.60,0.00,NA,10.72
2018,KY,Total Electric Industry,10.60,9.74,5.68,0.00,NA,8.52
2018,LA,Total Electric Industry,9.59,8.85,5.35,9.21,NA,7.71
2018,MA,Total Electric Industry,21.61,17.17,14.89,6.38,NA,18.50
2018,MD,Total Electric Industry,13.30,10.43,8.23,7.44,NA,11.57
2018,ME,Total Electric Industry,16.84,12.51,9.32,0.00,NA,13.44
2018,MI,Total Electric Industry,15.45,11.15,7.10,10.76,NA,11.40
2018,MN,Total Electric Industry,13.14,10.38,7.52,9.58,NA,10.37
2018,MO,Total Electric Industry,11.34,9.40,7.22,8.52,NA,9.93
2018,MS,Total Electric Industry,11.12,10.43,6.00,0.00,NA,9.24
2018,MT,Total Electric Industry,10.96,10.11,5.19,0.00,NA,8.84
2018,NC,Total Electric Industry,11.09,8.58,6.33,8.02,NA,9.25
2018,ND,Total Electric Industry,10.25,9.10,7.98,0.00,NA,8.91
2018,NE,Total Electric Industry,10.70,8.83,7.60,0.00,NA,9.02
2018,NH,Total Electric Industry,19.69,15.81,13.42,0.00,NA,17.01
2018,NJ,Total Electric Industry,15.41,12.21,10.07,9.07,NA,13.23
2018,NM,Total Electric Industry,12.68,10.02,5.84,0.00,NA,9.35
2018,NV,Total Electric Industry,11.85,7.74,6.10,8.31,NA,8.67
2018,NY,Total Electric Industry,18.52,14.50,6.02,12.14,NA,14.83
2018,OH,Total Electric Industry,12.56,10.11,7.01,7.33,NA,9.94
2018,OK,Total Electric Industry,10.30,8.07,5.34,0.00,NA,8.09
2018,OR,Total Electric Industry,10.98,8.91,5.86,9.16,NA,8.85
2018,PA,Total Electric Industry,13.89,8.94,6.84,7.78,NA,10.10
2018,RI,Total Electric Industry,20.55,16.58,15.39,17.01,NA,18.10
2018,SC,Total Electric Industry,12.44,10.11,6.10,0.00,NA,9.67
2018,SD,Total Electric Industry,11.59,9.62,7.77,0.00,NA,9.97
2018,TN,Total Electric Industry,10.71,10.51,5.68,0.00,NA,9.58
2018,TX,Total Electric Industry,11.20,8.16,5.39,8.08,NA,8.48
2018,UT,Total Electric Industry,10.41,8.23,5.90,10.59,NA,8.21
2018,VA,Total Electric Industry,11.73,8.32,6.86,8.28,NA,9.48
2018,VT,Total Electric Industry,18.02,15.24,10.66,0.00,NA,15.13
2018,WA,Total Electric Industry,9.75,8.72,4.72,9.38,NA,8.00
2018,WI,Total Electric Industry,14.02,10.67,7.33,13.85,NA,10.58
2018,WV,Total Electric Industry,11.18,9.24,6.40,0.00,NA,8.72
2018,WY,Total Electric Industry,11.29,9.58,6.71,0.00,NA,8.09
2018,US,Total Electric Industry,12.87,10.67,6.92,9.70,NA,10.53
