State,Value_2020
South Dakota,17.2
North Dakota,17.3
Wyoming,17.9
Montana,18.3
Nebraska,18.8
Alaska,19.1
Iowa,19.3
Kansas,19.4
Idaho,21.1
Arkansas,21.7
Oklahoma,21.9
Utah,21.9
Wisconsin,22.2
New Mexico,22.3
Vermont,23.3
Kentucky,23.6
Minnesota,23.7
Ohio,23.7
Indiana,23.8
Missouri,23.9
Oregon,23.9
Maine,24.2
Michigan,24.6
Nevada,24.6
Mississippi,24.8
North Carolina,24.8
Alabama,24.9
Rhode Island,25.2
Tennessee,25.2
Arizona,25.7
Louisiana,25.7
Colorado,25.8
West Virginia,25.9
South Carolina,25
Delaware,26.3
Connecticut,26.6
Texas,26.6
Pennsylvania,27.2
Hawaii,27.5
New Hampshire,27.5
Florida,27.8
Virginia,28.7
Georgia,28.8
Washington,28
Illinois,29.2
Puerto Rico,29.3
California,29.8
Massachusetts,30.2
District of Columbia,30.8
New Jersey,32.2
Maryland,33.2
New York,33.6
