,State,Value_2019
0,Alabama,1.3
1,Alaska,1.14
2,Arizona,1.4
3,Arkansas,1.36
4,California,1.06
5,Colorado,1.09
6,Connecticut,0.79
7,Delaware,1.29
8,District of Columbia,0.61
9,Florida,1.41
10,Georgia,1.12
11,Hawaii,0.98
12,Idaho,1.24
13,Illinois,0.94
14,Indiana,0.98
15,Iowa,1.0
16,Kansas,1.29
17,Kentucky,1.48
18,Louisiana,1.42
19,Maine,1.06
20,Maryland,0.87
21,Massachusetts,0.51
22,Michigan,0.96
23,Minnesota,0.6
24,Mississippi,1.56
25,Missouri,1.11
26,Montana,1.43
27,Nebraska,1.17
28,Nevada,1.06
29,New Hampshire,0.73
30,New Jersey,0.71
31,New Mexico,1.53
32,New York,0.75
33,North Carolina,1.12
34,North Dakota,1.02
35,Ohio,1.01
36,Oklahoma,1.43
37,Oregon,1.37
38,Pennsylvania,1.03
39,Rhode Island,0.75
40,South Carolina,1.73
41,South Dakota,1.03
42,Tennessee,1.37
43,Texas,1.25
44,Utah,0.75
45,Vermont,0.64
46,Virginia,0.97
47,Washington,0.83
48,West Virginia,1.36
49,Wisconsin,0.85
50,Wyoming,1.44
51,U.S. total,1.11
