,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alabama,82.2,45.0,83.5,46.0
1,Alaska,88.7,15.0,89.7,16.0
2,Arizona,87.7,21.0,88.3,24.0
3,Arkansas,77.1,50.0,80.8,48.0
4,California,90.2,8.0,91.1,6.0
5,Colorado,90.9,4.0,91.8,4.0
6,Connecticut,89.6,12.0,91.1,6.0
7,Delaware,89.3,13.0,90.8,11.0
8,Florida,85.6,32.0,87.5,32.0
9,Georgia,85.6,32.0,86.8,34.0
10,Hawaii,88.3,16.0,89.8,15.0
11,Idaho,88.3,16.0,90.0,14.0
12,Illinois,88.0,19.0,89.0,18.0
13,Indiana,85.1,36.0,86.4,37.0
14,Iowa,86.6,28.0,88.1,28.0
15,Kansas,87.2,24.0,88.4,23.0
16,Kentucky,83.3,42.0,85.6,40.0
17,Louisiana,80.6,47.0,82.4,47.0
18,Maine,87.0,25.0,88.3,24.0
19,Maryland,90.7,5.0,91.0,9.0
20,Massachusetts,90.7,5.0,91.3,5.0
21,Michigan,87.0,25.0,87.9,30.0
22,Minnesota,90.0,10.0,90.7,12.0
23,Mississippi,78.3,49.0,80.6,49.0
24,Missouri,84.9,37.0,86.9,33.0
25,Montana,84.8,38.0,87.8,31.0
26,Nebraska,88.8,14.0,90.1,13.0
27,Nevada,86.4,29.0,88.7,21.0
28,New Hampshire,91.8,2.0,92.4,3.0
29,New Jersey,90.0,10.0,90.9,10.0
30,New Mexico,79.2,48.0,79.4,50.0
31,New York,86.9,27.0,88.3,24.0
32,North Carolina,85.4,34.0,86.8,34.0
33,North Dakota,84.5,40.0,84.9,43.0
34,Ohio,87.3,23.0,88.2,27.0
35,Oklahoma,83.6,41.0,85.6,40.0
36,Oregon,90.5,7.0,91.1,6.0
37,Pennsylvania,86.3,30.0,88.1,28.0
38,Rhode Island,90.1,9.0,89.7,16.0
39,South Carolina,83.1,44.0,84.9,43.0
40,South Dakota,84.8,38.0,85.4,42.0
41,Tennessee,83.3,42.0,85.7,39.0
42,Texas,85.7,31.0,86.7,36.0
43,Utah,91.0,3.0,92.9,1.0
44,Vermont,85.4,34.0,86.1,38.0
45,Virginia,88.2,18.0,89.0,18.0
46,Washington,92.1,1.0,92.6,2.0
47,West Virginia,81.6,46.0,83.6,45.0
48,Wisconsin,87.4,22.0,88.6,22.0
49,Wyoming,87.8,20.0,89.0,18.0
50,District of Columbia,84.1,,88.3,
51,United States,87.0,,88.3,
