,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
35095,2019,2019 Annual,High-speed Internet,Alabama,45.0,82.2,-0.55,82.8,81.6,"U.S. Census Bureau, American Community Survey",2018
35096,2019,2019 Annual,High-speed Internet,Alaska,15.0,88.7,1.32,89.8,87.6,"U.S. Census Bureau, American Community Survey",2018
35097,2019,2019 Annual,High-speed Internet,Arizona,21.0,87.7,1.04,88.2,87.2,"U.S. Census Bureau, American Community Survey",2018
35098,2019,2019 Annual,High-speed Internet,Arkansas,50.0,77.1,-2.0,77.9,76.3,"U.S. Census Bureau, American Community Survey",2018
35099,2019,2019 Annual,High-speed Internet,California,8.0,90.2,1.76,90.3,90.1,"U.S. Census Bureau, American Community Survey",2018
35100,2019,2019 Annual,High-speed Internet,Colorado,4.0,90.9,1.96,91.3,90.5,"U.S. Census Bureau, American Community Survey",2018
35101,2019,2019 Annual,High-speed Internet,Connecticut,12.0,89.6,1.58,90.2,89.0,"U.S. Census Bureau, American Community Survey",2018
35102,2019,2019 Annual,High-speed Internet,Delaware,13.0,89.3,1.5,90.4,88.2,"U.S. Census Bureau, American Community Survey",2018
35103,2019,2019 Annual,High-speed Internet,Florida,32.0,85.6,0.43,86.0,85.2,"U.S. Census Bureau, American Community Survey",2018
35104,2019,2019 Annual,High-speed Internet,Georgia,32.0,85.6,0.43,86.1,85.1,"U.S. Census Bureau, American Community Survey",2018
35105,2019,2019 Annual,High-speed Internet,Hawaii,16.0,88.3,1.21,89.3,87.3,"U.S. Census Bureau, American Community Survey",2018
35106,2019,2019 Annual,High-speed Internet,Idaho,16.0,88.3,1.21,89.1,87.5,"U.S. Census Bureau, American Community Survey",2018
35107,2019,2019 Annual,High-speed Internet,Illinois,19.0,88.0,1.12,88.2,87.8,"U.S. Census Bureau, American Community Survey",2018
35108,2019,2019 Annual,High-speed Internet,Indiana,36.0,85.1,0.29,85.6,84.6,"U.S. Census Bureau, American Community Survey",2018
35109,2019,2019 Annual,High-speed Internet,Iowa,28.0,86.6,0.72,87.1,86.1,"U.S. Census Bureau, American Community Survey",2018
35110,2019,2019 Annual,High-speed Internet,Kansas,24.0,87.2,0.89,87.8,86.6,"U.S. Census Bureau, American Community Survey",2018
35111,2019,2019 Annual,High-speed Internet,Kentucky,42.0,83.3,-0.23,83.9,82.7,"U.S. Census Bureau, American Community Survey",2018
35112,2019,2019 Annual,High-speed Internet,Louisiana,47.0,80.6,-1.01,81.3,79.9,"U.S. Census Bureau, American Community Survey",2018
35113,2019,2019 Annual,High-speed Internet,Maine,25.0,87.0,0.83,87.7,86.3,"U.S. Census Bureau, American Community Survey",2018
35114,2019,2019 Annual,High-speed Internet,Maryland,5.0,90.7,1.9,91.1,90.3,"U.S. Census Bureau, American Community Survey",2018
35115,2019,2019 Annual,High-speed Internet,Massachusetts,5.0,90.7,1.9,91.1,90.3,"U.S. Census Bureau, American Community Survey",2018
35116,2019,2019 Annual,High-speed Internet,Michigan,25.0,87.0,0.83,87.2,86.8,"U.S. Census Bureau, American Community Survey",2018
35117,2019,2019 Annual,High-speed Internet,Minnesota,10.0,90.0,1.7,90.4,89.6,"U.S. Census Bureau, American Community Survey",2018
35118,2019,2019 Annual,High-speed Internet,Mississippi,49.0,78.3,-1.67,79.0,77.6,"U.S. Census Bureau, American Community Survey",2018
35119,2019,2019 Annual,High-speed Internet,Missouri,37.0,84.9,0.23,85.4,84.4,"U.S. Census Bureau, American Community Survey",2018
35120,2019,2019 Annual,High-speed Internet,Montana,38.0,84.8,0.2,85.9,83.7,"U.S. Census Bureau, American Community Survey",2018
35121,2019,2019 Annual,High-speed Internet,Nebraska,14.0,88.8,1.35,89.4,88.2,"U.S. Census Bureau, American Community Survey",2018
35122,2019,2019 Annual,High-speed Internet,Nevada,29.0,86.4,0.66,87.1,85.7,"U.S. Census Bureau, American Community Survey",2018
35123,2019,2019 Annual,High-speed Internet,New Hampshire,2.0,91.8,2.0,92.4,91.2,"U.S. Census Bureau, American Community Survey",2018
35124,2019,2019 Annual,High-speed Internet,New Jersey,10.0,90.0,1.7,90.4,89.6,"U.S. Census Bureau, American Community Survey",2018
35125,2019,2019 Annual,High-speed Internet,New Mexico,48.0,79.2,-1.41,80.3,78.1,"U.S. Census Bureau, American Community Survey",2018
35126,2019,2019 Annual,High-speed Internet,New York,27.0,86.9,0.81,87.1,86.7,"U.S. Census Bureau, American Community Survey",2018
35127,2019,2019 Annual,High-speed Internet,North Carolina,34.0,85.4,0.37,85.8,85.0,"U.S. Census Bureau, American Community Survey",2018
35128,2019,2019 Annual,High-speed Internet,North Dakota,40.0,84.5,0.12,85.6,83.4,"U.S. Census Bureau, American Community Survey",2018
35129,2019,2019 Annual,High-speed Internet,Ohio,23.0,87.3,0.92,87.5,87.1,"U.S. Census Bureau, American Community Survey",2018
