State,Value_2019,Rank_2019,Value_2020,Rank_2020
Alaska,68,3,70,4
Alabama,86.3,50,85.2,50
United States,76.3,,75.9,
Arkansas,82.6,44,82.4,44
Arizona,76.1,17,75.6,13
California,73.8,9,73.5,9
Colorado,74.9,11,74.2,11
Connecticut,77.9,21,78.3,22
District of Columbia,34.2,,33,
Delaware,79.6,26,80.7,32
Florida,79.1,23,78.1,21
Georgia,79.4,25,78.4,24
Hawaii,67.3,2,69.3,2
Iowa,81.6,34,80.2,29
Idaho,79.7,27,78.3,22
Illinois,72.7,8,72.4,8
Indiana,82.9,46,81.6,35
Kansas,82,36,82.7,47
Kentucky,82.4,41,82,38
Louisiana,82.7,45,82.1,41
Massachusetts,69.8,4,69.6,3
Maryland,74.3,10,73.9,10
Maine,77.8,20,78.5,25
Michigan,82,36,81.8,36
Minnesota,77.7,19,77.6,20
Missouri,82.2,39,82.1,41
Mississippi,85.5,49,84.8,49
Montana,74.9,11,76.2,15
North Carolina,80.6,28,80.2,29
North Dakota,82.2,39,82.5,46
Nebraska,82.1,38,81.8,36
New Hampshire,80.8,30,80.4,31
New Jersey,70.9,5,71,6
New Mexico,79.3,24,80.7,32
Nevada,78.3,22,77,19
New York,53.1,1,52.8,1
Ohio,82.4,41,82.4,44
Oklahoma,82.5,43,82.7,47
Oregon,71.7,7,71.5,7
Pennsylvania,75.6,14,75.2,12
Rhode Island,81.3,32,79.6,26
South Carolina,81.4,33,82.1,41
South Dakota,81.1,31,79.8,27
Tennessee,83.1,47,82,38
Texas,80.7,29,80.1,28
Utah,75.7,15,76.1,14
Virginia,76.7,18,76.6,17
Vermont,75.4,13,76.2,15
Washington,71,6,70.9,5
Wisconsin,81.7,35,80.8,34
West Virginia,83.3,48,82,38
Wyoming,75.8,16,76.9,18
