,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
15652,2020,2020 Annual,Drive Alone to Work,Alaska,4.0,70.0,-1.07,71.4,68.6,AHR data,
15653,2020,2020 Annual,Drive Alone to Work,Alabama,50.0,85.2,1.69,85.8,84.6,AHR data,
15654,2020,2020 Annual,Drive Alone to Work,United States,,75.9,,76.0,75.8,AHR data,
15655,2020,2020 Annual,Drive Alone to Work,Arkansas,44.0,82.4,1.18,83.2,81.6,AHR data,
15656,2020,2020 Annual,Drive Alone to Work,Arizona,13.0,75.6,-0.05,76.2,75.0,AHR data,
15657,2020,2020 Annual,Drive Alone to Work,California,9.0,73.5,-0.44,73.7,73.3,AHR data,
15658,2020,2020 Annual,Drive Alone to Work,Colorado,11.0,74.2,-0.31,74.8,73.6,AHR data,
15659,2020,2020 Annual,Drive Alone to Work,Connecticut,22.0,78.3,0.44,79.0,77.6,AHR data,
15660,2020,2020 Annual,Drive Alone to Work,District of Columbia,,33.0,,34.7,31.3,AHR data,
15661,2020,2020 Annual,Drive Alone to Work,Delaware,32.0,80.7,0.87,82.2,79.2,AHR data,
15662,2020,2020 Annual,Drive Alone to Work,Florida,21.0,78.1,0.4,78.5,77.7,AHR data,
15663,2020,2020 Annual,Drive Alone to Work,Georgia,24.0,78.4,0.45,78.9,77.9,AHR data,
15664,2020,2020 Annual,Drive Alone to Work,Hawaii,2.0,69.3,-1.2,70.6,68.0,AHR data,
15665,2020,2020 Annual,Drive Alone to Work,Iowa,29.0,80.2,0.78,80.9,79.5,AHR data,
15666,2020,2020 Annual,Drive Alone to Work,Idaho,22.0,78.3,0.44,79.5,77.1,AHR data,
15667,2020,2020 Annual,Drive Alone to Work,Illinois,8.0,72.4,-0.64,72.8,72.0,AHR data,
15668,2020,2020 Annual,Drive Alone to Work,Indiana,35.0,81.6,1.03,82.2,81.0,AHR data,
15669,2020,2020 Annual,Drive Alone to Work,Kansas,47.0,82.7,1.23,83.4,82.0,AHR data,
15670,2020,2020 Annual,Drive Alone to Work,Kentucky,38.0,82.0,1.11,82.6,81.4,AHR data,
15671,2020,2020 Annual,Drive Alone to Work,Louisiana,41.0,82.1,1.13,82.7,81.5,AHR data,
15672,2020,2020 Annual,Drive Alone to Work,Massachusetts,3.0,69.6,-1.14,70.2,69.0,AHR data,
15673,2020,2020 Annual,Drive Alone to Work,Maryland,10.0,73.9,-0.36,74.4,73.4,AHR data,
15674,2020,2020 Annual,Drive Alone to Work,Maine,25.0,78.5,0.47,79.6,77.4,AHR data,
15675,2020,2020 Annual,Drive Alone to Work,Michigan,36.0,81.8,1.07,82.3,81.3,AHR data,
15676,2020,2020 Annual,Drive Alone to Work,Minnesota,20.0,77.6,0.31,78.1,77.1,AHR data,
15677,2020,2020 Annual,Drive Alone to Work,Missouri,41.0,82.1,1.13,82.6,81.6,AHR data,
15678,2020,2020 Annual,Drive Alone to Work,Mississippi,49.0,84.8,1.62,85.6,84.0,AHR data,
15679,2020,2020 Annual,Drive Alone to Work,Montana,15.0,76.2,0.05,77.4,75.0,AHR data,
15680,2020,2020 Annual,Drive Alone to Work,North Carolina,29.0,80.2,0.78,80.7,79.7,AHR data,
15681,2020,2020 Annual,Drive Alone to Work,North Dakota,46.0,82.5,1.2,83.7,81.3,AHR data,
15682,2020,2020 Annual,Drive Alone to Work,Nebraska,36.0,81.8,1.07,82.5,81.1,AHR data,
15683,2020,2020 Annual,Drive Alone to Work,New Hampshire,31.0,80.4,0.82,81.6,79.2,AHR data,
15684,2020,2020 Annual,Drive Alone to Work,New Jersey,6.0,71.0,-0.89,71.5,70.5,AHR data,
15685,2020,2020 Annual,Drive Alone to Work,New Mexico,32.0,80.7,0.87,81.8,79.6,AHR data,
15686,2020,2020 Annual,Drive Alone to Work,Nevada,19.0,77.0,0.2,78.1,75.9,AHR data,
15687,2020,2020 Annual,Drive Alone to Work,New York,1.0,52.8,-2.0,53.2,52.4,AHR data,
15688,2020,2020 Annual,Drive Alone to Work,Ohio,44.0,82.4,1.18,82.8,82.0,AHR data,
15689,2020,2020 Annual,Drive Alone to Work,Oklahoma,47.0,82.7,1.23,83.3,82.1,AHR data,
15690,2020,2020 Annual,Drive Alone to Work,Oregon,7.0,71.5,-0.8,72.1,70.9,AHR data,
15691,2020,2020 Annual,Drive Alone to Work,Pennsylvania,12.0,75.2,-0.13,75.6,74.8,AHR data,
15692,2020,2020 Annual,Drive Alone to Work,Rhode Island,26.0,79.6,0.67,80.9,78.3,AHR data,
15693,2020,2020 Annual,Drive Alone to Work,South Carolina,41.0,82.1,1.13,82.7,81.5,AHR data,
15694,2020,2020 Annual,Drive Alone to Work,South Dakota,27.0,79.8,0.71,81.1,78.5,AHR data,
15695,2020,2020 Annual,Drive Alone to Work,Tennessee,38.0,82.0,1.11,82.5,81.5,AHR data,
15696,2020,2020 Annual,Drive Alone to Work,Texas,28.0,80.1,0.76,80.3,79.9,AHR data,
15697,2020,2020 Annual,Drive Alone to Work,Utah,14.0,76.1,0.04,76.9,75.3,AHR data,
15698,2020,2020 Annual,Drive Alone to Work,Virginia,17.0,76.6,0.13,77.2,76.0,AHR data,
15699,2020,2020 Annual,Drive Alone to Work,Vermont,15.0,76.2,0.05,77.5,74.9,AHR data,
15700,2020,2020 Annual,Drive Alone to Work,Washington,5.0,70.9,-0.91,71.5,70.3,AHR data,
15701,2020,2020 Annual,Drive Alone to Work,Wisconsin,34.0,80.8,0.89,81.3,80.3,AHR data,
15702,2020,2020 Annual,Drive Alone to Work,West Virginia,38.0,82.0,1.11,83.1,80.9,AHR data,
15703,2020,2020 Annual,Drive Alone to Work,Wyoming,18.0,76.9,0.18,78.6,75.2,AHR data,
