,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
17831,2019,2019 Annual,Drive Alone to Work,Alaska,3.0,68.0,-1.44,69.4,66.6,"U.S. Census Bureau, American Community Survey",2018
17832,2019,2019 Annual,Drive Alone to Work,Alabama,50.0,86.3,1.73,86.8,85.8,"U.S. Census Bureau, American Community Survey",2018
17833,2019,2019 Annual,Drive Alone to Work,United States,,76.3,,76.4,76.2,"U.S. Census Bureau, American Community Survey",2018
17834,2019,2019 Annual,Drive Alone to Work,Arkansas,44.0,82.6,1.09,83.4,81.8,"U.S. Census Bureau, American Community Survey",2018
17835,2019,2019 Annual,Drive Alone to Work,Arizona,17.0,76.1,-0.03,76.6,75.6,"U.S. Census Bureau, American Community Survey",2018
17836,2019,2019 Annual,Drive Alone to Work,California,9.0,73.8,-0.43,74.0,73.6,"U.S. Census Bureau, American Community Survey",2018
17837,2019,2019 Annual,Drive Alone to Work,Colorado,11.0,74.9,-0.24,75.4,74.4,"U.S. Census Bureau, American Community Survey",2018
17838,2019,2019 Annual,Drive Alone to Work,Connecticut,21.0,77.9,0.28,78.5,77.3,"U.S. Census Bureau, American Community Survey",2018
17839,2019,2019 Annual,Drive Alone to Work,District of Columbia,,34.2,,36.0,32.4,"U.S. Census Bureau, American Community Survey",2018
17840,2019,2019 Annual,Drive Alone to Work,Delaware,26.0,79.6,0.57,80.9,78.3,"U.S. Census Bureau, American Community Survey",2018
17841,2019,2019 Annual,Drive Alone to Work,Florida,23.0,79.1,0.49,79.5,78.7,"U.S. Census Bureau, American Community Survey",2018
17842,2019,2019 Annual,Drive Alone to Work,Georgia,25.0,79.4,0.54,79.9,78.9,"U.S. Census Bureau, American Community Survey",2018
17843,2019,2019 Annual,Drive Alone to Work,Hawaii,2.0,67.3,-1.56,68.5,66.1,"U.S. Census Bureau, American Community Survey",2018
17844,2019,2019 Annual,Drive Alone to Work,Iowa,34.0,81.6,0.92,82.2,81.0,"U.S. Census Bureau, American Community Survey",2018
