State,Value_2020
Alabama,29.9
Alaska,37.3
Arizona,38.5
Arkansas,25.2
California,42.4
Colorado,44.3
Connecticut,46.5
Delaware,36.7
Florida,32.9
Georgia,41.8
Hawaii,30.9
Idaho,34.7
Illinois,41.3
Indiana,34
Iowa,33.2
Kansas,35.8
Kentucky,33.9
Louisiana,28.1
Maine,37.5
Maryland,46.5
Massachusetts,50
Michigan,36.3
Minnesota,45.9
Mississippi,19.6
Missouri,34.4
Montana,29.9
Nebraska,39.2
Nevada,32.8
New Hampshire,45.7
New Jersey,51.1
New Mexico,34.4
New York,43.9
North Carolina,36
North Dakota,32.9
Ohio,39.5
Oklahoma,27.8
Oregon,41.8
Pennsylvania,37.2
Rhode Island,42.6
South Carolina,27.6
South Dakota,31.9
Tennessee,33.6
Texas,38.9
Utah,51.9
Vermont,39.9
Virginia,45.6
Washington,41.4
West Virginia,27.1
Wisconsin,39.3
Wyoming,26.3
