Bureau of Justice Statistics,,,,,,,,
Filename: jeeus17t02.csv,,,,,,,,
"Table 2. Detailed expenditures (in thousands of dollars) on justice system functions in state and local governments, 2017",,,,,,,,
"Report title: Justice Expenditures and Employment in the United States, 2017 NCJ 256093",,,,,,,,
"Data source: U.S. Census Bureau, Census of Governments, 2017",,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 07/07/2021,,,,,,,,
,,,,,,,,
"Table 2. Detailed expenditures (in thousands of dollars) on justice system functions in state and local governments, 2017 ",,,,,,,,
Type of expenditure,,,,All state/local governments/a,State,All local/b,County,Municipal/c
Police protection ,,,,,,,,
,Total expenditure,,,"$115,713,762 ","$16,621,322 ","$99,092,440 ","$31,359,947 ","$63,959,912 "
,,Direct expenditure,,"$114,050,866 ","$14,973,037 ","$99,077,829 ","$31,284,815 ","$62,900,286 "
,,,Direct current expenditure,"$110,037,907 ","$14,255,413 ","$95,782,494 ","$29,971,547 ","$61,072,781 "
,,,Capital outlay,"$4,012,959 ","$717,624 ","$3,295,335 ","$1,313,268 ","$1,827,505 "
,,Intergovernmental expenditure,,:,"$1,648,285 ","$14,611 ","$75,132 ","$1,059,626 "
Judicial and legal functions,,,,,,,,
,Total expenditure,,,"$49,565,471 ","$25,012,645 ","$24,552,826 ","$18,718,371 ","$5,532,095 "
,,Direct expenditure,,"$47,475,570 ","$23,597,577 ","$23,877,993 ","$18,037,977 ","$5,471,284 "
,,,Direct current expenditure,"$45,944,973 ","$22,763,639 ","$23,181,334 ","$17,469,683 ","$5,343,898 "
,,,Capital outlay,"$1,530,597 ","$833,938 ","$696,659 ","$568,294 ","$127,386 "
,,Intergovernmental expenditure,,:,"$1,415,068 ","$674,833 ","$680,394 ","$60,811 "
Corrections,,,,,,,,
,Total expenditure,,,"$81,436,411 ","$51,476,590 ","$29,959,821 ","$25,161,392 ","$4,575,371 "
,,Direct expenditure,,"$79,153,659 ","$49,271,171 ","$29,882,488 ","$25,041,958 ","$4,362,408 "
,,,Direct current expenditure,"$76,916,107 ","$47,915,595 ","$29,000,512 ","$24,338,834 ","$4,195,092 "
,,,Capital outlay,"$2,237,552 ","$1,355,576 ","$881,976 ","$703,124 ","$167,316 "
,,Intergovernmental expenditure,,:,"$2,205,419 ","$77,333 ","$119,434 ","$212,963 "
Note: Expenditures are in thousands of dollars. ,,,,,,,,
:Not calculated to avoid double counting. See footnote a.,,,,,,,,
a/Total expenditures exclude duplicative intergovernmental expenditures (payments to other governments that both the paying government and receiving governments report as spent) to avoid artificially inflating the values. See Terms and definitions.,,,,,,,,
"b/Intergovernmental expenditures include only payments by local governments (counties, municipalities, townships, and the District of Columbia) to state governments.",,,,,,,,
"c/Includes municipalities, townships, and the District of Columbia. ",,,,,,,,
"Source: U.S. Census Bureau, Census of Governments, 2017.",,,,,,,,
