Bureau of Justice Statistics,,,,,,,,,,,,
Filename: jeeus17t05.csv,,,,,,,,,,,,
"Table 5. Full-time equivalent employees in all government and justice system functions in state and local governments, 2017",,,,,,,,,,,,
"Report title: Justice Expenditures and Employment in the United States, 2017 NCJ 256093",,,,,,,,,,,,
"Data source: U.S. Census Bureau, Census of Governments, 2017",,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 5. Full-time equivalent employees in all government and justice system functions in state and local governments, 2017",,,,,,,,,,,,
Type of function,,,All state/local governments,,State,,All local/a,,County,,Municipal/b,
All government functions,,,,,,,,,,,,
,Total FTE,,"16,598,394",,"4,399,978",,"12,198,416",,"2,622,621",,"2,531,205",
Total justice system,,,,,,,,,,,,
,Total FTE,,"2,054,983",,"722,534",,"1,332,449",,"667,265",,"593,827",
,Percent of all government functions,,12.4,%,16.4,%,10.9,%,25.4,%,23.5,%
Police protection/c,,,,,,,,,,,,
,Total,,,,,,,,,,,
,,Total FTE,"928,791",,"102,775",,"826,016",,"258,854",,"511,397",
,,Percent of all government functions,5.6,%,2.3,%,6.8,%,9.9,%,20.2,%
,,Percent of total justice system,45.2,,14.2,,62,,38.8,,86.1,
,Sworn only,,,,,,,,,,,
,,Total FTE,"708,079",,"65,326",,"642,753",,"185,146",,"411,885",
,,Percent of all government functions,4.3,%,1.5,%,5.3,%,7.1,%,16.3,%
,,Percent of total justice system,34.5,,9,,48.2,,27.7,,69.4,
Judicial and legal functions,,,,,,,,,,,,
,Total FTE,,"417,290",,"175,701",,"241,589",,"185,234",,"49,446",
,Percent of all government functions,,2.5,%,4,%,2,%,7.1,%,2,%
,Percent of total justice system,,20.3,,24.3,,18.1,,27.8,,8.3,
Corrections,,,,,,,,,,,,
,Total FTE,,"708,902",,"444,058",,"264,844",,"223,177",,"32,984",
,Percent of all government functions,,4.3,%,10.1,%,2.2,%,8.5,%,1.3,%
,Percent of total justice system,,34.5,,61.5,,19.9,,33.4,,5.6,
"Note: Full-time equivalent (FTE) is the number of full-time employees, plus the number of paid part-time hours divided by the standard hours for full-time employees in a government.",,,,,,,,,,,,
"a/Includes counties, municipalities, townships, and the District of Columbia.",,,,,,,,,,,,
"b/Includes municipalities, townships, and the District of Columbia.",,,,,,,,,,,,
c/Police protection employees can be classified as either sworn (having arrest powers) or nonsworn (all others).,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census of Governments, 2017. ",,,,,,,,,,,,
