Bureau of Justice Statistics,,,,,,,,,,,,,,
Filename: jeeus17t06.csv,,,,,,,,,,,,,,
"Table 6. March payrolls (in thousands of dollars) for all state and local government and justice system functions, 2017",,,,,,,,,,,,,,
"Report title: Justice Expenditures and Employment in the United States, 2017 NCJ 256093",,,,,,,,,,,,,,
"Data source: U.S. Census Bureau, Census of Governments, 2017",,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 6. March payrolls (in thousands of dollars) for all state and local government and justice system functions, 2017",,,,,,,,,,,,,,
,,All state/local government functions,Total justice system,,,Police protection,,,Judicial and legal functions,,,Corrections,,
Type of government,,Total March payrolls,March payrolls,Percent of total justice system March payrolls,,March payrolls,Percent of total justice system March payrolls,,March payrolls,Percent of total justice system March payrolls,,March payrolls,Percent of  total March payrolls,
,All state/local,"$80,419,556 ","$11,297,185 ",14,%,"$5,618,771 ",49.7,%,"$2,310,243 ",20.4,%,"$3,368,171 ",29.8,%
State,,"$23,023,836 ","$3,757,630 ",16.3,%,"$651,184 ",17.3,%,"$1,023,196 ",27.2,%,"$2,083,250 ",55.4,%
All local,,"$57,395,720 ","$7,539,553 ",13.1,%,"$4,967,586 ",65.9,%,"$1,287,047 ",17.1,%,"$1,284,920 ",17,%
,County,"$12,440,349 ","$3,480,303 ",28,,"$1,433,660 ",41.2,,"$984,024 ",28.3,,"$1,062,619 ",30.5,
,Municipal*,"$13,762,829 ","$3,624,388 ",26.3,,"$3,168,861 ",87.4,,"$267,514 ",7.4,,"$188,013 ",5.2,
"Note: Payrolls are in thousands of dollars. Includes all salaries, wages, fees, commissions, bonuses, and awards paid to employees during the 1-month (31 days) pay period that includes March 12. See Terms and definitions.",,,,,,,,,,,,,,
"*Includes municipalities, townships, and the District of Columbia. ",,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Census of Governments, 2017. ",,,,,,,,,,,,,,
