State,Value_2018
Nevada,707.00
Alaska,1178.00
Florida,644.00
Maryland,768.00
California,898.00
Arizona,574.00
Delaware,733.00
New Mexico,687.00
Virginia,616.00
New York,871.00
Rhode Island,679.00
Idaho,503.00
Illinois,656.00
Wisconsin,588.00
Oregon,668.00
North Carolina,520.00
Colorado,589.00
New Jersey,625.00
Pennsylvania,605.00
Montana,556.00
Wyoming,749.00
Georgia,476.00
Texas,510.00
Minnesota,612.00
Louisiana,532.00
Michigan,519.00
Vermont,614.00
Tennessee,480.00
New Hampshire,489.00
Oklahoma,453.00
Missouri,465.00
Ohio,525.00
Nebraska,545.00
South Dakota,455.00
Kansas,485.00
Connecticut,516.00
Washington,530.00
Hawaii,504.00
Massachusetts,535.00
Utah,443.00
Mississippi,435.00
North Dakota,513.00
Maine,421.00
Indiana,393.00
Arkansas,398.00
Alabama,426.00
West Virginia,425.00
South Carolina,419.00
Kentucky,410.00
Iowa,405.00
