State,Value_2019,Value_2020
California,38.28638039,40.78105407
New York,47.33889081,47.29072013
Florida,13.1894715,12.52564586
Texas,8.914369596,9.158666386
Washington,28.33526354,29.39999161
Massachusetts,26.79868257,26.00459851
Oregon,37.64103831,34.16530693
Pennsylvania,10.31011665,10.44585404
Georgia,9.835720024,9.449670716
Ohio,8.85012533,9.095473706
Illinois,8.048566974,8.298777635
Arizona,13.74830207,14.59953408
Colorado,16.70331823,16.70616126
North Carolina,8.880554351,8.672068892
New Jersey,9.977269119,10.8873494
Michigan,8.586284954,8.644546515
Minnesota,14.14453993,13.91420647
Tennessee,10.9339724,10.44891752
Nevada,23.27479517,21.65870526
Maryland,10.85237723,10.48564357
Hawaii,45.28657958,45.91767809
Missouri,10.06773521,10.58025579
Virginia,6.775217769,6.923536013
Indiana,8.126592436,8.265175634
Wisconsin,7.79399131,7.71466504
South Carolina,8.102994262,8.122656471
Kentucky,9.13003257,8.951700321
Oklahoma,9.967219876,9.853542577
Alabama,6.650779034,6.791384123
New Mexico,15.45667291,15.83369161
Connecticut,8.507029027,8.176601073
Louisiana,6.326371958,6.857572139
Utah,8.727500485,9.457003106
Arkansas,9.003235465,7.79842489
Kansas,8.172823115,8.39496727
Nebraska,12.22596267,12.31559901
Iowa,7.337396635,8.355497867
Idaho,12.95420144,12.44541356
Maine,15.66717155,15.48147612
Alaska,26.06811611,26.90662201
West Virginia,7.795119485,7.585446577
New Hampshire,10.2668876,12.20664872
Montana,12.69674338,14.23957884
Mississippi,3.978295442,3.73178731
Vermont,17.45223073,17.80983905
Rhode Island,9.958833674,10.40028865
South Dakota,11.24727155,11.8003839
Delaware,9.458143862,11.763708
North Dakota,7.309116581,7.025736793
Wyoming,9.468535263,10.53220324
