,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,885.0,50.0,867.0,50.0
1,Alabama,520.0,44.0,511.0,44.0
2,United States,381.0,,379.0,
3,Arkansas,544.0,47.0,585.0,47.0
4,Arizona,475.0,41.0,455.0,41.0
5,California,447.0,37.0,441.0,39.0
6,Colorado,397.0,31.0,381.0,30.0
7,Connecticut,207.0,5.0,184.0,3.0
8,District of Columbia,996.0,,1049.0,
9,Delaware,424.0,35.0,423.0,36.0
10,Florida,385.0,30.0,378.0,29.0
11,Georgia,327.0,24.0,341.0,25.0
12,Hawaii,249.0,14.0,286.0,17.0
13,Iowa,250.0,15.0,267.0,13.0
14,Idaho,227.0,11.0,224.0,10.0
15,Illinois,404.0,32.0,407.0,33.0
16,Indiana,382.0,29.0,371.0,27.0
17,Kansas,439.0,36.0,411.0,34.0
18,Kentucky,212.0,7.0,217.0,7.0
19,Louisiana,538.0,45.0,549.0,46.0
20,Massachusetts,338.0,25.0,328.0,24.0
21,Maryland,469.0,40.0,454.0,40.0
22,Maine,112.0,1.0,115.0,1.0
23,Michigan,449.0,38.0,437.0,38.0
24,Minnesota,220.0,10.0,236.0,11.0
25,Missouri,502.0,43.0,495.0,43.0
26,Mississippi,234.0,13.0,278.0,14.0
27,Montana,374.0,27.0,405.0,32.0
28,North Carolina,378.0,28.0,372.0,28.0
29,North Dakota,281.0,17.0,285.0,16.0
30,Nebraska,285.0,18.0,301.0,21.0
31,New Hampshire,173.0,3.0,153.0,2.0
32,New Jersey,208.0,6.0,207.0,5.0
33,New Mexico,857.0,49.0,832.0,49.0
34,Nevada,541.0,46.0,494.0,42.0
35,New York,351.0,26.0,359.0,26.0
36,Ohio,280.0,16.0,293.0,18.0
37,Oklahoma,466.0,39.0,432.0,37.0
38,Oregon,286.0,19.0,284.0,15.0
39,Pennsylvania,306.0,22.0,306.0,22.0
40,Rhode Island,219.0,9.0,221.0,9.0
41,South Carolina,488.0,42.0,511.0,44.0
42,South Dakota,405.0,33.0,399.0,31.0
43,Tennessee,624.0,48.0,595.0,48.0
44,Texas,411.0,34.0,419.0,35.0
45,Utah,233.0,12.0,236.0,11.0
46,Virginia,200.0,4.0,208.0,6.0
47,Vermont,172.0,2.0,202.0,4.0
48,Washington,312.0,23.0,294.0,20.0
49,Wisconsin,295.0,21.0,293.0,18.0
50,West Virginia,290.0,20.0,317.0,23.0
51,Wyoming,212.0,7.0,217.0,7.0
