,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
48620,2020,2020 Annual,Violent Crime,Alaska,50.0,867.0,2.0,,,AHR data,
48621,2020,2020 Annual,Violent Crime,Alabama,44.0,511.0,0.87,,,AHR data,
48622,2020,2020 Annual,Violent Crime,United States,,379.0,,,,AHR data,
48623,2020,2020 Annual,Violent Crime,Arkansas,47.0,585.0,1.36,,,AHR data,
48624,2020,2020 Annual,Violent Crime,Arizona,41.0,455.0,0.5,,,AHR data,
48625,2020,2020 Annual,Violent Crime,California,39.0,441.0,0.41,,,AHR data,
48626,2020,2020 Annual,Violent Crime,Colorado,30.0,381.0,0.01,,,AHR data,
48627,2020,2020 Annual,Violent Crime,Connecticut,3.0,184.0,-1.29,,,AHR data,
48628,2020,2020 Annual,Violent Crime,District of Columbia,,1049.0,,,,AHR data,
48629,2020,2020 Annual,Violent Crime,Delaware,36.0,423.0,0.29,,,AHR data,
48630,2020,2020 Annual,Violent Crime,Florida,29.0,378.0,-0.01,,,AHR data,
48631,2020,2020 Annual,Violent Crime,Georgia,25.0,341.0,-0.25,,,AHR data,
48632,2020,2020 Annual,Violent Crime,Hawaii,17.0,286.0,-0.61,,,AHR data,
48633,2020,2020 Annual,Violent Crime,Iowa,13.0,267.0,-0.74,,,AHR data,
48634,2020,2020 Annual,Violent Crime,Idaho,10.0,224.0,-1.02,,,AHR data,
48635,2020,2020 Annual,Violent Crime,Illinois,33.0,407.0,0.18,,,AHR data,
48636,2020,2020 Annual,Violent Crime,Indiana,27.0,371.0,-0.05,,,AHR data,
48637,2020,2020 Annual,Violent Crime,Kansas,34.0,411.0,0.21,,,AHR data,
48638,2020,2020 Annual,Violent Crime,Kentucky,7.0,217.0,-1.07,,,AHR data,
48639,2020,2020 Annual,Violent Crime,Louisiana,46.0,549.0,1.12,,,AHR data,
48640,2020,2020 Annual,Violent Crime,Massachusetts,24.0,328.0,-0.34,,,AHR data,
48641,2020,2020 Annual,Violent Crime,Maryland,40.0,454.0,0.5,,,AHR data,
48642,2020,2020 Annual,Violent Crime,Maine,1.0,115.0,-1.74,,,AHR data,
48643,2020,2020 Annual,Violent Crime,Michigan,38.0,437.0,0.38,,,AHR data,
48644,2020,2020 Annual,Violent Crime,Minnesota,11.0,236.0,-0.94,,,AHR data,
48645,2020,2020 Annual,Violent Crime,Missouri,43.0,495.0,0.77,,,AHR data,
48646,2020,2020 Annual,Violent Crime,Mississippi,14.0,278.0,-0.67,,,AHR data,
48647,2020,2020 Annual,Violent Crime,Montana,32.0,405.0,0.17,,,AHR data,
48648,2020,2020 Annual,Violent Crime,North Carolina,28.0,372.0,-0.05,,,AHR data,
48649,2020,2020 Annual,Violent Crime,North Dakota,16.0,285.0,-0.62,,,AHR data,
48650,2020,2020 Annual,Violent Crime,Nebraska,21.0,301.0,-0.51,,,AHR data,
48651,2020,2020 Annual,Violent Crime,New Hampshire,2.0,153.0,-1.49,,,AHR data,
48652,2020,2020 Annual,Violent Crime,New Jersey,5.0,207.0,-1.14,,,AHR data,
48653,2020,2020 Annual,Violent Crime,New Mexico,49.0,832.0,2.0,,,AHR data,
48654,2020,2020 Annual,Violent Crime,Nevada,42.0,494.0,0.76,,,AHR data,
48655,2020,2020 Annual,Violent Crime,New York,26.0,359.0,-0.13,,,AHR data,
48656,2020,2020 Annual,Violent Crime,Ohio,18.0,293.0,-0.57,,,AHR data,
48657,2020,2020 Annual,Violent Crime,Oklahoma,37.0,432.0,0.35,,,AHR data,
48658,2020,2020 Annual,Violent Crime,Oregon,15.0,284.0,-0.63,,,AHR data,
48659,2020,2020 Annual,Violent Crime,Pennsylvania,22.0,306.0,-0.48,,,AHR data,
48660,2020,2020 Annual,Violent Crime,Rhode Island,9.0,221.0,-1.04,,,AHR data,
48661,2020,2020 Annual,Violent Crime,South Carolina,44.0,511.0,0.87,,,AHR data,
48662,2020,2020 Annual,Violent Crime,South Dakota,31.0,399.0,0.13,,,AHR data,
48663,2020,2020 Annual,Violent Crime,Tennessee,48.0,595.0,1.43,,,AHR data,
48664,2020,2020 Annual,Violent Crime,Texas,35.0,419.0,0.26,,,AHR data,
48665,2020,2020 Annual,Violent Crime,Utah,11.0,236.0,-0.94,,,AHR data,
48666,2020,2020 Annual,Violent Crime,Virginia,6.0,208.0,-1.13,,,AHR data,
48667,2020,2020 Annual,Violent Crime,Vermont,4.0,202.0,-1.17,,,AHR data,
48668,2020,2020 Annual,Violent Crime,Washington,20.0,294.0,-0.56,,,AHR data,
48669,2020,2020 Annual,Violent Crime,Wisconsin,18.0,293.0,-0.57,,,AHR data,
48670,2020,2020 Annual,Violent Crime,West Virginia,23.0,317.0,-0.41,,,AHR data,
48671,2020,2020 Annual,Violent Crime,Wyoming,7.0,217.0,-1.07,,,AHR data,
