,Unnamed: 0,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,0,Alaska,24.1,34.0,21.9,48.0
1,1,Alabama,26.3,46.0,15.4,22.0
2,2,United States,20.5,,14.7,
3,3,Arkansas,27.1,47.0,24.1,50.0
4,4,Arizona,27.3,48.0,17.0,33.0
5,5,California,14.8,1.0,11.9,4.0
6,6,Colorado,20.1,20.0,15.9,24.0
7,7,Connecticut,18.3,12.0,12.2,6.0
8,8,District of Columbia,21.3,,19.4,
9,9,Delaware,22.0,27.0,17.2,36.0
10,10,Florida,25.3,40.0,15.6,23.0
11,11,Georgia,23.7,33.0,16.4,26.0
12,12,Hawaii,18.2,10.0,13.3,11.0
13,13,Iowa,18.6,15.0,16.7,30.0
14,14,Idaho,21.1,24.0,17.0,33.0
15,15,Illinois,18.1,9.0,12.0,5.0
16,16,Indiana,22.2,29.0,17.1,35.0
17,17,Kansas,20.8,22.0,15.9,24.0
18,18,Kentucky,25.8,42.0,17.8,39.0
19,19,Louisiana,25.2,39.0,18.6,43.0
20,20,Massachusetts,15.7,4.0,11.0,3.0
21,21,Maryland,15.6,2.0,13.6,14.0
22,22,Maine,22.5,30.0,16.7,30.0
23,23,Michigan,22.0,27.0,18.3,42.0
24,24,Minnesota,17.2,6.0,13.7,15.0
25,25,Missouri,25.9,43.0,13.1,8.0
26,26,Mississippi,25.5,41.0,18.2,40.0
27,27,Montana,25.9,43.0,23.9,49.0
28,28,North Carolina,23.6,32.0,12.3,7.0
29,29,North Dakota,17.7,8.0,16.6,28.0
30,30,Nebraska,18.9,16.0,15.3,20.0
31,31,New Hampshire,18.5,14.0,13.1,8.0
32,32,New Jersey,15.6,2.0,8.9,1.0
33,33,New Mexico,26.0,45.0,21.7,47.0
34,34,Nevada,24.4,36.0,14.6,16.0
35,35,New York,15.7,4.0,10.3,2.0
36,36,Ohio,25.1,37.0,17.5,38.0
37,37,Oklahoma,28.5,50.0,19.8,45.0
38,38,Oregon,23.3,31.0,17.3,37.0
39,39,Pennsylvania,19.2,17.0,14.9,18.0
40,40,Rhode Island,18.2,10.0,13.4,13.0
41,41,South Carolina,20.9,23.0,16.5,27.0
42,42,South Dakota,20.6,21.0,18.2,40.0
43,43,Tennessee,24.1,34.0,16.8,32.0
44,44,Texas,19.9,18.0,15.3,20.0
45,45,Utah,17.6,7.0,15.0,19.0
46,46,Virginia,19.9,18.0,13.2,10.0
47,47,Vermont,21.5,25.0,16.6,28.0
48,48,Washington,18.4,13.0,13.3,11.0
49,49,Wisconsin,21.7,26.0,14.7,17.0
50,50,West Virginia,27.7,49.0,19.6,44.0
51,51,Wyoming,25.1,37.0,21.5,46.0
