,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
0,2019,2019 Annual,Adverse Childhood Experiences,Alaska,34.0,24.1,0.96,27.7,20.5,AHR data,
1,2019,2019 Annual,Adverse Childhood Experiences,Alabama,46.0,26.3,1.56,30.1,22.5,AHR data,
2,2019,2019 Annual,Adverse Childhood Experiences,United States,,20.5,,21.2,19.8,AHR data,
3,2019,2019 Annual,Adverse Childhood Experiences,Arkansas,47.0,27.1,1.76,30.8,23.3,AHR data,
4,2019,2019 Annual,Adverse Childhood Experiences,Arizona,48.0,27.3,1.82,31.1,23.4,AHR data,
5,2019,2019 Annual,Adverse Childhood Experiences,California,1.0,14.8,-1.52,17.8,11.9,AHR data,
6,2019,2019 Annual,Adverse Childhood Experiences,Colorado,20.0,20.1,-0.12,23.1,17.0,AHR data,
7,2019,2019 Annual,Adverse Childhood Experiences,Connecticut,12.0,18.3,-0.58,21.5,15.2,AHR data,
8,2019,2019 Annual,Adverse Childhood Experiences,District of Columbia,,21.3,,25.1,17.4,AHR data,
9,2019,2019 Annual,Adverse Childhood Experiences,Delaware,27.0,22.0,0.39,25.4,18.5,AHR data,
10,2019,2019 Annual,Adverse Childhood Experiences,Florida,40.0,25.3,1.3,29.0,21.6,AHR data,
11,2019,2019 Annual,Adverse Childhood Experiences,Georgia,33.0,23.7,0.87,27.6,19.9,AHR data,
12,2019,2019 Annual,Adverse Childhood Experiences,Hawaii,10.0,18.2,-0.61,20.9,15.5,AHR data,
13,2019,2019 Annual,Adverse Childhood Experiences,Iowa,15.0,18.6,-0.51,21.6,15.6,AHR data,
14,2019,2019 Annual,Adverse Childhood Experiences,Idaho,24.0,21.1,0.15,24.0,18.1,AHR data,
15,2019,2019 Annual,Adverse Childhood Experiences,Illinois,9.0,18.1,-0.65,21.2,15.0,AHR data,
16,2019,2019 Annual,Adverse Childhood Experiences,Indiana,29.0,22.2,0.47,25.5,18.9,AHR data,
17,2019,2019 Annual,Adverse Childhood Experiences,Kansas,22.0,20.8,0.08,24.1,17.5,AHR data,
18,2019,2019 Annual,Adverse Childhood Experiences,Kentucky,42.0,25.8,1.42,29.5,22.1,AHR data,
19,2019,2019 Annual,Adverse Childhood Experiences,Louisiana,39.0,25.2,1.26,29.0,21.3,AHR data,
20,2019,2019 Annual,Adverse Childhood Experiences,Massachusetts,4.0,15.7,-1.3,18.8,12.5,AHR data,
21,2019,2019 Annual,Adverse Childhood Experiences,Maryland,2.0,15.6,-1.31,18.4,12.8,AHR data,
22,2019,2019 Annual,Adverse Childhood Experiences,Maine,30.0,22.5,0.54,25.7,19.3,AHR data,
23,2019,2019 Annual,Adverse Childhood Experiences,Michigan,27.0,22.0,0.41,25.4,18.6,AHR data,
24,2019,2019 Annual,Adverse Childhood Experiences,Minnesota,6.0,17.2,-0.88,20.5,13.9,AHR data,
25,2019,2019 Annual,Adverse Childhood Experiences,Missouri,43.0,25.9,1.46,29.6,22.3,AHR data,
26,2019,2019 Annual,Adverse Childhood Experiences,Mississippi,41.0,25.5,1.34,29.1,21.8,AHR data,
27,2019,2019 Annual,Adverse Childhood Experiences,Montana,43.0,25.9,1.46,29.5,22.4,AHR data,
28,2019,2019 Annual,Adverse Childhood Experiences,North Carolina,32.0,23.6,0.84,27.6,19.7,AHR data,
