State,Value_2019
Alabama,23.2
Alaska,19.1
Arizona,21.9
Arkansas,20.3
California,27.3
Colorado,23.3
Connecticut,25.9
Delaware,25.7
District of Columbia,20.9
Florida,28.2
Georgia,23.3
Hawaii,27.7
Idaho,18.1
Illinois,23.2
Indiana,22.5
Iowa,21.4
Kansas,18.8
Kentucky,20.8
Louisiana,26.6
Maine,19.8
Maryland,25.1
Massachusetts,24.3
Michigan,25.1
Minnesota,21.1
Mississippi,23.3
Missouri,20.7
Montana,20.9
Nebraska,17.4
Nevada,25.3
New Hampshire,21.1
New Jersey,25.5
New Mexico,21.1
New York,26.9
North Carolina,21.7
North Dakota,15.2
Ohio,21.3
Oklahoma,20.0
Oregon,24.1
Pennsylvania,24.1
Rhode Island,21.6
South Carolina,22.9
South Dakota,17.2
Tennessee,21.5
Texas,22.7
Utah,21.1
Vermont,23.7
Virginia,21.5
Washington,21.4
West Virginia,22.7
Wisconsin,19.2
Wyoming,20.0
