,State Name,Value_2019,Rank_2019,Value_2020,Rank_2020
0,Alaska,11.6,22.0,10.8,20.0
1,Alabama,16.3,46.0,14.7,43.0
2,United States,12.3,,11.7,
3,Arkansas,17.4,49.0,15.1,45.0
4,Arizona,13.1,33.0,12.4,31.0
5,California,11.2,18.0,10.6,18.0
6,Colorado,9.2,4.0,9.1,7.0
7,Connecticut,12.2,26.0,12.4,31.0
8,District of Columbia,11.2,,10.6,
9,Delaware,11.1,17.0,10.5,16.0
10,Florida,11.9,24.0,11.7,29.0
11,Georgia,13.0,32.0,11.3,27.0
12,Hawaii,7.4,1.0,8.0,2.0
13,Iowa,10.5,12.0,9.2,8.0
14,Idaho,11.0,16.0,9.8,11.0
15,Illinois,11.2,18.0,10.7,19.0
16,Indiana,13.6,37.0,13.5,38.0
17,Kansas,13.3,35.0,13.8,40.0
18,Kentucky,14.7,43.0,14.7,43.0
19,Louisiana,17.3,48.0,15.8,48.0
20,Massachusetts,10.2,10.0,9.3,9.0
21,Maryland,10.4,11.0,11.1,24.0
22,Maine,14.4,41.0,13.6,39.0
23,Michigan,13.6,37.0,12.9,35.0
24,Minnesota,9.5,6.0,8.6,4.0
25,Missouri,12.8,29.0,12.0,30.0
26,Mississippi,17.2,47.0,15.9,49.0
27,Montana,11.4,20.0,10.3,14.0
28,North Carolina,14.4,41.0,13.9,41.0
29,North Dakota,9.0,3.0,8.8,5.0
30,Nebraska,13.5,36.0,11.4,28.0
31,New Hampshire,9.4,5.0,7.8,1.0
32,New Jersey,8.6,2.0,8.5,3.0
33,New Mexico,17.9,50.0,16.8,50.0
34,Nevada,12.4,27.0,12.9,35.0
35,New York,10.9,15.0,10.5,16.0
36,Ohio,13.7,39.0,13.2,37.0
37,Oklahoma,15.0,45.0,15.6,46.0
38,Oregon,12.9,30.0,11.1,24.0
39,Pennsylvania,12.1,25.0,11.1,24.0
40,Rhode Island,12.4,27.0,11.0,22.0
41,South Carolina,11.7,23.0,11.0,22.0
42,South Dakota,11.4,20.0,10.9,21.0
43,Tennessee,12.9,30.0,12.4,31.0
44,Texas,14.0,40.0,14.0,42.0
45,Utah,10.7,13.0,9.8,11.0
46,Virginia,10.1,9.0,10.1,13.0
47,Vermont,9.8,7.0,9.6,10.0
48,Washington,10.8,14.0,10.3,14.0
49,Wisconsin,10.0,8.0,8.9,6.0
50,West Virginia,14.9,44.0,15.7,47.0
51,Wyoming,13.2,34.0,12.6,34.0
