,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
22152,2020,2020 Annual,Food Insecurity,Alaska,20.0,10.8,-0.39,12.9,8.8,AHR data,
22153,2020,2020 Annual,Food Insecurity,Alabama,43.0,14.7,1.3,16.9,12.5,AHR data,
22154,2020,2020 Annual,Food Insecurity,United States,,11.7,,11.9,11.5,AHR data,
22155,2020,2020 Annual,Food Insecurity,Arkansas,45.0,15.1,1.47,17.7,12.6,AHR data,
22156,2020,2020 Annual,Food Insecurity,Arizona,31.0,12.4,0.3,14.0,10.8,AHR data,
22157,2020,2020 Annual,Food Insecurity,California,18.0,10.6,-0.48,11.4,9.8,AHR data,
22158,2020,2020 Annual,Food Insecurity,Colorado,7.0,9.1,-1.13,10.8,7.4,AHR data,
22159,2020,2020 Annual,Food Insecurity,Connecticut,31.0,12.4,0.3,14.9,9.9,AHR data,
22160,2020,2020 Annual,Food Insecurity,District of Columbia,,10.6,,12.0,9.2,AHR data,
22161,2020,2020 Annual,Food Insecurity,Delaware,16.0,10.5,-0.52,12.7,8.3,AHR data,
22162,2020,2020 Annual,Food Insecurity,Florida,29.0,11.7,0.0,12.8,10.6,AHR data,
22163,2020,2020 Annual,Food Insecurity,Georgia,27.0,11.3,-0.17,13.2,9.4,AHR data,
22164,2020,2020 Annual,Food Insecurity,Hawaii,2.0,8.0,-1.6,9.7,6.3,AHR data,
22165,2020,2020 Annual,Food Insecurity,Iowa,8.0,9.2,-1.08,11.0,7.5,AHR data,
22166,2020,2020 Annual,Food Insecurity,Idaho,11.0,9.8,-0.82,11.7,7.9,AHR data,
22167,2020,2020 Annual,Food Insecurity,Illinois,19.0,10.7,-0.43,12.0,9.4,AHR data,
22168,2020,2020 Annual,Food Insecurity,Indiana,38.0,13.5,0.78,15.4,11.6,AHR data,
22169,2020,2020 Annual,Food Insecurity,Kansas,40.0,13.8,0.91,16.7,11.0,AHR data,
22170,2020,2020 Annual,Food Insecurity,Kentucky,43.0,14.7,1.3,16.9,12.5,AHR data,
22171,2020,2020 Annual,Food Insecurity,Louisiana,48.0,15.8,1.78,17.3,14.3,AHR data,
22172,2020,2020 Annual,Food Insecurity,Massachusetts,9.0,9.3,-1.04,10.8,7.8,AHR data,
22173,2020,2020 Annual,Food Insecurity,Maryland,24.0,11.1,-0.26,13.3,8.9,AHR data,
22174,2020,2020 Annual,Food Insecurity,Maine,39.0,13.6,0.82,16.5,10.7,AHR data,
22175,2020,2020 Annual,Food Insecurity,Michigan,35.0,12.9,0.52,14.7,11.1,AHR data,
22176,2020,2020 Annual,Food Insecurity,Minnesota,4.0,8.6,-1.34,11.0,6.2,AHR data,
22177,2020,2020 Annual,Food Insecurity,Missouri,30.0,12.0,0.13,14.3,9.7,AHR data,
22178,2020,2020 Annual,Food Insecurity,Mississippi,49.0,15.9,1.82,18.0,13.8,AHR data,
22179,2020,2020 Annual,Food Insecurity,Montana,14.0,10.3,-0.61,11.9,8.7,AHR data,
22180,2020,2020 Annual,Food Insecurity,North Carolina,41.0,13.9,0.95,15.6,12.2,AHR data,
22181,2020,2020 Annual,Food Insecurity,North Dakota,5.0,8.8,-1.26,10.3,7.3,AHR data,
22182,2020,2020 Annual,Food Insecurity,Nebraska,28.0,11.4,-0.13,13.0,9.8,AHR data,
22183,2020,2020 Annual,Food Insecurity,New Hampshire,1.0,7.8,-1.69,9.7,6.0,AHR data,
22184,2020,2020 Annual,Food Insecurity,New Jersey,3.0,8.5,-1.39,10.0,7.0,AHR data,
22185,2020,2020 Annual,Food Insecurity,New Mexico,50.0,16.8,2.0,19.0,14.6,AHR data,
22186,2020,2020 Annual,Food Insecurity,Nevada,35.0,12.9,0.52,15.1,10.7,AHR data,
22187,2020,2020 Annual,Food Insecurity,New York,16.0,10.5,-0.52,11.6,9.4,AHR data,
22188,2020,2020 Annual,Food Insecurity,Ohio,37.0,13.2,0.65,14.6,11.8,AHR data,
22189,2020,2020 Annual,Food Insecurity,Oklahoma,46.0,15.6,1.69,18.1,13.1,AHR data,
22190,2020,2020 Annual,Food Insecurity,Oregon,24.0,11.1,-0.26,13.0,9.2,AHR data,
22191,2020,2020 Annual,Food Insecurity,Pennsylvania,24.0,11.1,-0.26,12.6,9.6,AHR data,
22192,2020,2020 Annual,Food Insecurity,Rhode Island,22.0,11.0,-0.3,13.4,8.6,AHR data,
22193,2020,2020 Annual,Food Insecurity,South Carolina,22.0,11.0,-0.3,13.6,8.4,AHR data,
22194,2020,2020 Annual,Food Insecurity,South Dakota,21.0,10.9,-0.35,13.0,8.8,AHR data,
22195,2020,2020 Annual,Food Insecurity,Tennessee,31.0,12.4,0.3,14.1,10.7,AHR data,
22196,2020,2020 Annual,Food Insecurity,Texas,42.0,14.0,1.0,15.3,12.8,AHR data,
22197,2020,2020 Annual,Food Insecurity,Utah,11.0,9.8,-0.82,12.5,7.1,AHR data,
22198,2020,2020 Annual,Food Insecurity,Virginia,13.0,10.1,-0.69,11.8,8.4,AHR data,
22199,2020,2020 Annual,Food Insecurity,Vermont,10.0,9.6,-0.91,11.2,8.0,AHR data,
22200,2020,2020 Annual,Food Insecurity,Washington,14.0,10.3,-0.61,11.8,8.8,AHR data,
22201,2020,2020 Annual,Food Insecurity,Wisconsin,6.0,8.9,-1.21,10.3,7.5,AHR data,
22202,2020,2020 Annual,Food Insecurity,West Virginia,47.0,15.7,1.73,18.4,13.0,AHR data,
22203,2020,2020 Annual,Food Insecurity,Wyoming,34.0,12.6,0.39,14.3,10.9,AHR data,
