"State","2007-2009","2017-2019","Percentage Point Change","Change Is Statistically Significant"
"US","13.5%","11.1%","-2.4%","*"
"Alabama","15.0%","13.9%","-1.1%",""
"Alaska","12.9%","10.7%","-2.2%",""
"Arizona","14.5%","11.7%","-2.8%","*"
"Arkansas","17.7%","13.8%","-3.9%","*"
"California","14.1%","9.9%","-4.2%","*"
"Colorado","12.2%","10.2%","-2.0%","*"
"Connecticut","11.4%","12.9%","1.5%",""
"Delaware","9.5%","10.2%","0.7%",""
"District of Columbia","12.9%","10.2%","-2.7%","*"
"Florida","14.2%","10.9%","-3.3%","*"
"Georgia","15.6%","10.0%","-5.6%","*"
"Hawaii","11.4%","8.4%","-3.0%","*"
"Idaho","11.6%","9.6%","-2.0%",""
"Illinois","12.2%","9.9%","-2.3%","*"
"Indiana","12.3%","12.4%","0.1%",""
"Iowa","11.5%","7.9%","-3.6%","*"
"Kansas","14.2%","12.5%","-1.7%",""
"Kentucky","13.4%","13.7%","0.3%",""
"Louisiana","10.0%","15.3%","5.3%","*"
"Maine","14.8%","12.0%","-2.8%","*"
"Maryland","11.1%","10.1%","-1.0%",""
"Massachusetts","10.0%","8.4%","-1.6%",""
"Michigan","13.4%","12.2%","-1.2%",""
"Minnesota","10.5%","8.3%","-2.2%","*"
"Mississippi","17.1%","15.7%","-1.4%",""
"Missouri","15.0%","11.7%","-3.3%","*"
"Montana","12.4%","10.0%","-2.4%","*"
"Nebraska","12.2%","10.8%","-1.4%",""
"Nevada","12.8%","12.8%","0.0%",""
"New Hampshire","8.9%","6.6%","-2.3%","*"
"New Jersey","11.5%","7.7%","-3.8%","*"
"New Mexico","14.7%","15.1%","0.4%",""
"New York","12.4%","10.8%","-1.6%","*"
"North Carolina","14.8%","13.1%","-1.7%",""
"North Dakota","6.7%","8.3%","1.6%",""
"Ohio","14.8%","12.6%","-2.2%",""
"Oklahoma","15.2%","14.7%","-0.5%",""
"Oregon","13.9%","9.8%","-4.1%","*"
"Pennsylvania","11.8%","10.2%","-1.6%",""
"Rhode Island","13.7%","9.1%","-4.6%","*"
"South Carolina","13.5%","10.9%","-2.6%",""
"South Dakota","11.2%","10.9%","-0.3%",""
"Tennessee","15.1%","12.5%","-2.6%",""
"Texas","17.4%","13.1%","-4.3%","*"
"Utah","11.8%","10.7%","-1.1%",""
"Vermont","13.6%","9.6%","-4.0%","*"
"Virginia","9.2%","9.2%","0.0%",""
"Washington","14.0%","9.9%","-4.1%","*"
"West Virginia","13.4%","15.4%","2.0%",""
"Wisconsin","11.4%","10.1%","-1.3%",""
"Wyoming","9.8%","12.2%","2.4%","*"
