State,Value_2019,Value_2018
California,17.2,18.1
Louisiana,16.2,16.5
Florida,15.4,16.2
Mississippi,15.2,15.8
New York,14.4,14
Texas,13.7,14.2
New Mexico,13.6,14.4
Hawaii,13.4,13.7
Nevada,13.4,13.5
Georgia,13.3,14.3
West Virginia,13.3,14.5
Alabama,13.1,13.8
North Carolina,13.1,13.4
South Carolina,13.1,12.6
Arkansas,12.5,12.9
New Jersey,12.5,14
Alaska,12.3,12.8
Arizona,12,14
Maryland,12,12.4
Virginia,11.5,12.8
Illinois,11.4,12.3
Colorado,11.3,10.8
Connecticut,11.2,11.6
Kentucky,11.2,12.5
Massachusetts,11.2,11.4
Oregon,11,11.5
Tennessee,11,11.5
Pennsylvania,10.9,10.8
Oklahoma,10.7,11.1
Delaware,10.5,11.9
Indiana,10.3,11.1
Ohio,10.1,10.4
Michigan,9.7,10.1
Maine,9.6,10.1
Wyoming,9.5,10.1
Vermont,9.4,9.4
North Dakota,9.3,10
Missouri,9.2,10.5
Nebraska,9.2,9.1
South Dakota,9.2,9.8
Washington,9,10.5
Montana,8.9,9.4
Idaho,8.4,9
New Hampshire,8.3,8.2
Utah,8,8.3
Wisconsin,7.5,7.8
Kansas,7.4,7.8
Rhode Island,7.3,8
Iowa,6.7,6.7
Minnesota,6.5,7
