State,Value_2020
Louisiana,683
Mississippi,638
Oklahoma,635
Arkansas,584
Arizona,545
Texas,520
Kentucky,515
Georgia,500
Idaho,461
Florida,438
Montana,435
Ohio,430
Wyoming,427
South Dakota,423
Missouri,422
Virginia,419
Delaware,418
Alabama,417
Nevada,403
Indiana,396
West Virginia,385
Michigan,381
Tennessee,379
Wisconsin,377
Pennsylvania,355
Oregon,348
South Carolina,347
Kansas,342
Colorado,336
New Mexico,315
California,309
North Carolina,309
Maryland,305
Illinois,304
Iowa,292
Nebraska,287
Connecticut,246
Washington,246
Alaska,246
North Dakota,229
New York,225
Hawaii,216
New Jersey,210
Utah,201
New Hampshire,196
Vermont,182
Minnesota,175
Rhode Island,156
Maine,145
Massachusetts,109
