State,Value_2018,Value_2019
US,11508940,11526539
CA,1025835,1139571
TX,900822,962899
IA,857377,892115
WA,937696,779010
NY,442692,451784
OR,486889,426251
IL,356868,369389
NE,355655,367195
MN,364063,363277
OK,308585,332311
GA,288096,301573
AL,279558,278138
KS,252305,272544
SD,251690,261949
IN,268948,254849
NC,248815,254003
FL,247000,248128
MI,236433,232837
WI,230846,230974
ND,208200,210222
PA,220272,201471
TN,185787,180608
OH,171657,172631
ID,178789,169062
CO,156708,166757
SC,147094,149840
ME,149414,148409
AZ,155971,148135
VA,159813,142617
MO,130773,139690
LA,143244,133667
AR,126114,133499
MT,143004,129188
NV,105653,113326
NM,85230,94036
KY,90165,89191
MA,75286,74169
MS,76541,66398
NH,56133,55990
MD,65957,55546
WY,51479,53219
NJ,48514,49358
UT,50354,48216
WV,45409,41953
VT,41537,40966
CT,37566,37159
HI,26299,25274
AK,24152,22743
RI,6661,8793
DE,3388,3609
DC,1603,2002
