,state,Value_2019,Value_2018
0,Texas,22509141,19716932
1,Pennsylvania,9453578,8820430
2,Wyoming,7064214,7660292
3,West Virginia,5116642,4694484
4,Oklahoma,4901057,4500230
5,North Dakota,4506825,4020116
6,Colorado,3736947,3488222
7,Louisiana,3804020,3416843
8,New Mexico,4233236,3354822
9,Ohio,3433628,3193670
10,Illinois,2094754,2172179
11,Alaska,1348522,1386446
12,California,1309785,1384589
13,Kentucky,956603,1064480
14,Alabama,972435,966298
15,Montana,787439,854713
16,Utah,834724,843438
17,Indiana,726538,796529
18,Arkansas,702550,762010
19,Virginia,740206,742077
20,South Carolina,585828,551151
21,Kansas,498379,531340
22,Arizona,415642,465988
23,New York,481355,460973
24,Michigan,462826,445497
25,North Carolina,437683,439915
26,Tennessee,388394,389081
27,Georgia,350759,359262
28,New Jersey,278147,334373
29,Florida,314856,318077
30,Mississippi,274076,237555
31,Maryland,191436,187177
32,Connecticut,174730,176496
33,Minnesota,147280,152657
34,Missouri,100673,117604
35,Wisconsin,104736,105900
36,New Hampshire,113890,105195
37,Washington,92584,101502
38,Nebraska,83883,71075
39,Iowa,54671,51181
40,Massachusetts,22734,46437
41,South Dakota,7094,7758
42,Idaho,1264,2615
43,Nevada,1523,1458
44,Oregon,420,529
45,Delaware,0,0
46,Hawaii,0,0
47,Maine,0,0
48,Rhode Island,0,0
49,Vermont,0,0
