,State,2019_ag,2019_ag_total,2018_ag,2018_ag_total,2019_pop,2018_pop,Value_2019,Value_2018
0,California,"53,161,976","53,161,976,000",52500545,52500545000,39512223,39461588,1345.456468,1330.421497
1,Iowa,"29,485,811","29,485,811,000",29263920,29263920000,3155070,3148618,9345.533063,9294.210984
2,Texas,"24,351,546","24,351,546,000",24857278,24857278000,28995881,28628666,839.8277673,868.2653254
3,Nebraska,"22,473,505","22,473,505,000",22491831,22491831000,1934408,1925614,11617.76885,11680.34248
4,Kansas,"18,061,386","18,061,386,000",17240482,17240482000,2913314,2911359,6199.601553,5921.79872
5,Minnesota,"17,870,847","17,870,847,000",17868710,17868710000,5639632,5606249,3168.796652,3187.284404
6,Illinois,"16,130,748","16,130,748,000",18158624,18158624000,12671821,12723071,1272.96211,1427.220205
7,North Carolina,"12,517,091","12,517,091,000",12631855,12631855000,10488084,10381615,1193.458309,1216.752403
8,Wisconsin,"12,465,724","12,465,724,000",12002756,12002756000,5822434,5807406,2140.981589,2066.801598
9,Indiana,"11,179,912","11,179,912,000",11645719,11645719000,6732219,6695497,1660.657801,1739.336004
10,Missouri,"10,744,660","10,744,660,000",10794299,10794299000,6137428,6121623,1750.677971,1763.306724
11,Washington,"10,138,465","10,138,465,000",10207823,10207823000,7614893,7523869,1331.399535,1356.725243
12,South Dakota,"10,123,255","10,123,255,000",10579259,10579259000,884659,878698,11443.11537,12039.69851
13,Georgia,"9,915,479","9,915,479,000",10157720,10157720000,10617423,10511131,933.8875356,966.3774526
14,Ohio,"9,482,034","9,482,034,000",10464918,10464918000,11689100,11676341,811.1859767,896.2497755
15,Arkansas,"9,252,886","9,252,886,000",9961114,9961114000,3017804,3009733,3066.099057,3309.633778
16,Florida,"8,602,956","8,602,956,000",8334991,8334991000,21477737,21244317,400.5522556,392.3397961
17,North Dakota,"8,601,854","8,601,854,000",9321933,9321933000,762062,758080,11287.6039,12296.76683
18,Idaho,"8,597,810","8,597,810,000",8197023,8197023000,1787065,1750536,4811.134458,4682.578936
19,Colorado,"8,384,102","8,384,102,000",8053219,8053219000,5758736,5691287,1455.892751,1415.008415
20,Pennsylvania,"8,190,787","8,190,787,000",7868535,7868535000,12801989,12800922,639.8058145,614.6850203
21,Michigan,"8,104,967","8,104,967,000",8207117,8207117000,9986857,9984072,811.5633377,822.0210151
22,Oklahoma,"7,477,340","7,477,340,000",7582204,7582204000,3956971,3940235,1889.662573,1924.302484
23,Kentucky,"6,890,551","6,890,551,000",6937559,6937559000,4467673,4461153,1542.313191,1555.104476
24,New York,"6,094,827","6,094,827,000",5667018,5667018000,19453561,19530351,313.3013539,290.1646775
25,Alabama,"5,950,507","5,950,507,000",6537115,6537115000,4903185,4887681,1213.600343,1337.467605
26,Mississippi,"5,671,404","5,671,404,000",6075531,6075531000,2976149,2981020,1905.618301,2038.071197
27,Oregon,"5,623,656","5,623,656,000",5601607,5601607000,4217737,4181886,1333.334914,1339.492994
28,Arizona,"5,353,277","5,353,277,000",4645981,4645981000,7278717,7158024,735.4698637,649.0591538
29,Montana,"4,494,942","4,494,942,000",4360186,4360186000,1068778,1060665,4205.6835,4110.804071
30,Virginia,"4,459,599","4,459,599,000",4426294,4426294000,8535519,8501286,522.4754347,520.6616975
31,Tennessee,"4,279,584","4,279,584,000",4192931,4192931000,6829174,6771631,626.6620238,619.190709
32,New Mexico,"3,439,592","3,439,592,000",3194388,3194388000,2096829,2092741,1640.377923,1526.413445
33,Louisiana,"3,329,476","3,329,476,000",3504007,3504007000,4648794,4659690,716.2020946,751.9828572
34,Maryland,"2,771,370","2,771,370,000",2687288,2687288000,6045680,6035802,458.4050099,445.2246777
35,South Carolina,"2,746,155","2,746,155,000",2829023,2829023000,5148714,5084156,533.367167,556.4390628
36,Utah,"2,121,556","2,121,556,000",1965704,1965704000,3205958,3153550,661.7541465,623.3305323
37,Wyoming,"1,833,267","1,833,267,000",1817188,1817188000,578759,577601,3167.582707,3146.095661
38,New Jersey,"1,531,838","1,531,838,000",1328346,1328346000,8882190,8886025,172.4617465,149.4870879
39,Delaware,"1,525,782","1,525,782,000",1598394,1598394000,973764,965479,1566.890951,1655.545071
40,Vermont,"904,622","904,622,000",824796,824796000,623989,624358,1449.7403,1321.030563
41,West Virginia,"899,770","899,770,000",901237,901237000,1792147,1804291,502.0626098,499.4964781
42,Nevada,"835,667","835,667,000",758175,758175000,3080156,3027341,271.306713,250.4425501
43,Maine,"811,830","811,830,000",766690,766690000,1344212,1339057,603.9449135,572.5596446
44,Connecticut,"777,791","777,791,000",719947,719947000,3565287,3571520,218.1566309,201.5799996
45,Hawaii,"698,841","698,841,000",713872,713872000,1415872,1420593,493.5763967,502.5169067
46,Massachusetts,"631,846","631,846,000",586271,586271000,6892503,6882635,91.67148712,85.18118424
47,New Hampshire,"284,433","284,433,000",279271,279271000,1359711,1353465,209.1863639,206.337807
48,Rhode Island,"88,098","88,098,000",89869,89869000,1059361,1058287,83.16145299,84.91930828
49,Alaska,"52,709","52,709,000",52905,52905000,731545,735139,72.05161678,71.96598194
