,state,2018_nuclear,2019_nuclear,coal_2018,coal_2019,gas_2018,gas_2019,oil_2018,oil_2019,total_2019,total_2018,oilgas_2019,oilgas_2018,Value_2019,Value_2018
0,,8438068,8451852,15280478,14290746,37762229,41734776,22834813,25473057,89950431,84315588,21769458,18957523,,
1,Texas,430597,431234,328812,308449,9776991,11224084,9180532,10545374,22509141,19716932,7333592,6669625,0.336875268,0.351819433
2,Pennsylvania,872749,869084,1278056,1250902,6632662,7296230,36963,37362,9453578,8820430,2235701,2344339,0.102698974,0.123662727
3,Wyoming,0,0,5315953,4828513,1842525,1653912,501814,581789,7064214,7660292,2694418,2225845,0.12377056,0.117412227
4,West Virginia,0,0,2468639,2422224,2159553,2598709,66292,95709,5116642,4694484,4895904,4485109,0.224897836,0.23658729
5,Oklahoma,0,0,15121,5153,3346437,3689022,1138672,1206882,4901057,4500230,4144879,3620281,0.190398815,0.190968039
6,North Dakota,0,0,399835,361946,993022,1188335,2627259,2956544,4506825,4020116,3466481,3195073,0.159235981,0.168538527
7,Colorado,0,0,293149,270466,2217310,2385531,977763,1080950,3736947,3488222,3636776,3217077,0.167058638,0.169699227
8,Louisiana,179330,145993,20436,21251,2942607,3375107,274470,261669,3804020,3416843,3964929,3154643,0.182132647,0.166405864
9,New Mexico,0,0,200179,268307,1734539,2087535,1420104,1877394,4233236,3354822,3063591,2782245,0.14072886,0.146762053
10,Ohio,191483,177624,219942,192413,2652291,2903825,129954,159766,3433628,3193670,49310,50641,0.0022651,0.002671288
11,Illinois,1025651,1030996,1095887,1014448,2596,2341,48045,46969,2094754,2172179,1333655,1372694,0.061262664,0.072408932
12,Alaska,0,0,13752,14867,375279,365297,997415,968358,1348522,1386446,1140986,1194167,0.052412237,0.062991721
13,California,190422,168799,0,0,228906,220844,965261,920142,1309785,1384589,103613,109009,0.004759558,0.005750171
14,Kentucky,0,0,955471,852990,96085,89340,12924,14273,956603,1064480,166064,183181,0.007628302,0.009662708
15,Alabama,412584,455865,370533,350506,149607,138389,33574,27675,972435,966298,178549,170682,0.008201812,0.009003391
16,Montana,0,0,684031,608890,47712,47683,122970,130866,787439,854713,508700,538110,0.023367601,0.028385037
17,Utah,0,0,305328,326024,326320,299612,211790,209088,834724,843438,14303,14901,0.000657021,0.00078602
18,Indiana,0,0,781628,712235,5292,5306,9609,8997,726538,796529,560800,629014,0.025760862,0.033180179
19,Arkansas,132996,141750,0,0,600455,534532,28559,26268,702550,762010,111903,117302,0.005140367,0.006187623
20,Virginia,305826,308013,318949,320290,117273,111869,29,34,740206,742077,0,0,0.0,0.0
21,South Carolina,551151,585828,0,0,0,0,0,0,585828,551151,401814,435486,0.018457694,0.022971672
22,Kansas,95854,96565,0,0,237402,212680,198084,189134,498379,531340,108,107,4.96108e-06,5.6442e-06
23,Arizona,325122,333312,140759,82222,44,68,63,40,415642,465988,12874,12255,0.000591379,0.000646445
24,New York,448718,468481,0,0,10994,11313,1261,1561,481355,460973,119187,126842,0.005474964,0.006690853
25,Michigan,318655,343639,0,0,95841,90173,31001,29014,462826,445497,0,0,0.0,0.0
26,North Carolina,439915,437683,0,0,0,0,0,0,437683,439915,4061,4935,0.000186546,0.000260319
27,Tennessee,378224,372992,5922,11341,3737,2916,1198,1145,388394,389081,0,0,0.0,0.0
28,Georgia,359262,350759,0,0,0,0,0,0,350759,359262,0,0,0.0,0.0
29,New Jersey,334373,278147,0,0,0,0,0,0,278147,334373,10910,11616,0.000501161,0.000612738
30,Florida,306461,303946,0,0,1123,1195,10493,9715,314856,318077,130451,133233,0.005992386,0.007027975
31,Mississippi,72343,115202,31979,28423,36499,34280,96734,96171,274076,237555,10,14,4.59359e-07,7.38493e-07
32,Maryland,156699,156765,30464,34661,14,10,0,0,191436,187177,0,0,0.0,0.0
33,Connecticut,176496,174730,0,0,0,0,0,0,174730,176496,0,0,0.0,0.0
34,Minnesota,152657,147280,0,0,0,0,0,0,147280,152657,485,549,2.22789e-05,2.89595e-05
35,Missouri,111401,95961,5654,4227,1,1,548,484,100673,117604,0,0,0.0,0.0
36,Wisconsin,105900,104736,0,0,0,0,0,0,104736,105900,0,0,0.0,0.0
37,New Hampshire,105195,113890,0,0,0,0,0,0,113890,105195,0,0,0.0,0.0
38,Washington,101502,92584,0,0,0,0,0,0,92584,101502,11294,12191,0.0005188,0.000643069
39,Nebraska,58884,72589,0,0,459,411,11732,10883,83883,71075,0,0,0.0,0.0
40,Iowa,51181,54671,0,0,0,0,0,0,54671,51181,0,0,0.0,0.0
41,Massachusetts,46437,22734,0,0,0,0,0,0,22734,46437,7094,7758,0.000325869,0.000409231
42,South Dakota,0,0,0,0,494,450,7264,6644,7094,7758,1264,2615,5.8063e-05,0.00013794
43,Idaho,0,0,0,0,2113,1139,502,125,1264,2615,1523,1458,6.99604e-05,7.69088e-05
44,Nevada,0,0,0,0,3,2,1455,1521,1523,1458,420,529,1.92931e-05,2.79045e-05
45,Oregon,0,0,0,0,529,420,0,0,420,529,0,0,0.0,0.0
46,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
47,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
48,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
49,Maine,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
50,Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
51,Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
