state,2018_nuclear,2019_nuclear,coal_2018,coal_2019,gas_2018,gas_2019,oil_2018,oil_2019,total_2019,total_2018,oilgas_2019,oilgas_2018
US,8438068,8451852,15280478,14290746,37762229,41734776,22834813,25473057,89950431,84315588,21769458,18957523
TX,430597,431234,328812,308449,9776991,11224084,9180532,10545374,22509141,19716932,7333592,6669625
PA,872749,869084,1278056,1250902,6632662,7296230,36963,37362,9453578,8820430,2235701,2344339
WY,0,0,5315953,4828513,1842525,1653912,501814,581789,7064214,7660292,2694418,2225845
WV,0,0,2468639,2422224,2159553,2598709,66292,95709,5116642,4694484,4895904,4485109
OK,0,0,15121,5153,3346437,3689022,1138672,1206882,4901057,4500230,4144879,3620281
ND,0,0,399835,361946,993022,1188335,2627259,2956544,4506825,4020116,3466481,3195073
CO,0,0,293149,270466,2217310,2385531,977763,1080950,3736947,3488222,3636776,3217077
LA,179330,145993,20436,21251,2942607,3375107,274470,261669,3804020,3416843,3964929,3154643
NM,0,0,200179,268307,1734539,2087535,1420104,1877394,4233236,3354822,3063591,2782245
OH,191483,177624,219942,192413,2652291,2903825,129954,159766,3433628,3193670,49310,50641
IL,1025651,1030996,1095887,1014448,2596,2341,48045,46969,2094754,2172179,1333655,1372694
AK,0,0,13752,14867,375279,365297,997415,968358,1348522,1386446,1140986,1194167
CA,190422,168799,0,0,228906,220844,965261,920142,1309785,1384589,103613,109009
KY,0,0,955471,852990,96085,89340,12924,14273,956603,1064480,166064,183181
AL,412584,455865,370533,350506,149607,138389,33574,27675,972435,966298,178549,170682
MT,0,0,684031,608890,47712,47683,122970,130866,787439,854713,508700,538110
UT,0,0,305328,326024,326320,299612,211790,209088,834724,843438,14303,14901
IN,0,0,781628,712235,5292,5306,9609,8997,726538,796529,560800,629014
AR,132996,141750,0,0,600455,534532,28559,26268,702550,762010,111903,117302
VA,305826,308013,318949,320290,117273,111869,29,34,740206,742077,0,0
SC,551151,585828,0,0,0,0,0,0,585828,551151,401814,435486
KS,95854,96565,0,0,237402,212680,198084,189134,498379,531340,108,107
AZ,325122,333312,140759,82222,44,68,63,40,415642,465988,12874,12255
NY,448718,468481,0,0,10994,11313,1261,1561,481355,460973,119187,126842
MI,318655,343639,0,0,95841,90173,31001,29014,462826,445497,0,0
NC,439915,437683,0,0,0,0,0,0,437683,439915,4061,4935
TN,378224,372992,5922,11341,3737,2916,1198,1145,388394,389081,0,0
GA,359262,350759,0,0,0,0,0,0,350759,359262,0,0
NJ,334373,278147,0,0,0,0,0,0,278147,334373,10910,11616
FL,306461,303946,0,0,1123,1195,10493,9715,314856,318077,130451,133233
MS,72343,115202,31979,28423,36499,34280,96734,96171,274076,237555,10,14
MD,156699,156765,30464,34661,14,10,0,0,191436,187177,0,0
CT,176496,174730,0,0,0,0,0,0,174730,176496,0,0
MN,152657,147280,0,0,0,0,0,0,147280,152657,485,549
MO,111401,95961,5654,4227,1,1,548,484,100673,117604,0,0
WI,105900,104736,0,0,0,0,0,0,104736,105900,0,0
NH,105195,113890,0,0,0,0,0,0,113890,105195,0,0
WA,101502,92584,0,0,0,0,0,0,92584,101502,11294,12191
NE,58884,72589,0,0,459,411,11732,10883,83883,71075,0,0
IA,51181,54671,0,0,0,0,0,0,54671,51181,0,0
MA,46437,22734,0,0,0,0,0,0,22734,46437,7094,7758
SD,0,0,0,0,494,450,7264,6644,7094,7758,1264,2615
ID,0,0,0,0,2113,1139,502,125,1264,2615,1523,1458
NV,0,0,0,0,3,2,1455,1521,1523,1458,420,529
OR,0,0,0,0,529,420,0,0,420,529,0,0
DC,0,0,0,0,0,0,0,0,0,0,0,0
DE,0,0,0,0,0,0,0,0,0,0,0,0
HI,0,0,0,0,0,0,0,0,0,0,0,0
ME,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,0,0,0,0,0
