State,Value_2019,Value_2018
California,13.0,12.8
Iowa,7.2,7.1
Texas,5.9,6
Nebraska,5.5,5.5
Kansas,4.4,4.2
Minnesota,4.4,4.3
Illinois,3.9,4.4
North Carolina,3.1,3.1
Wisconsin,3.0,2.9
Indiana,2.7,2.8
Missouri,2.6,2.6
Washington,2.5,2.5
South Dakota,2.5,2.6
Georgia,2.4,2.5
Ohio,2.3,2.5
Arkansas,2.3,2.4
Florida,2.1,2
North Dakota,2.1,2.3
Idaho,2.1,2
Colorado,2.0,2
Pennsylvania,2.0,1.9
Michigan,2.0,2
Oklahoma,1.8,1.8
Kentucky,1.7,1.7
New York,1.5,1.4
Alabama,1.5,1.6
Mississippi,1.4,1.5
Oregon,1.4,1.4
Arizona,1.3,1.1
Montana,1.1,1.1
Virginia,1.1,1.1
Tennessee,1.0,1
New Mexico,0.8,0.8
Louisiana,0.8,0.9
Maryland,0.7,0.7
South Carolina,0.7,0.7
Utah,0.5,0.5
Wyoming,0.4,0.4
New Jersey,0.4,0.3
Delaware,0.4,0.4
Vermont,0.2,0.2
West Virginia,0.2,0.2
Nevada,0.2,0.2
Maine,0.2,0.2
Connecticut,0.2,0.2
Hawaii,0.2,0.2
Massachusetts,0.2,0.1
New Hampshire,0.1,0.1
Rhode Island,0.0,0
Alaska,0.0,0
