,State,Value_2021,Value_2020
0,Alabama,3.9,1.9
1,Alaska,3.3,-2.4
2,Arizona,4.5,4.5
3,Arkansas,4.2,2.0
4,California,1.5,4.1
5,Colorado,3.4,4.2
6,Connecticut,2.1,1.0
7,Delaware,3.7,0.0
8,Florida,2.7,3.1
9,Georgia,3.6,2.4
10,Hawaii,-3.0,0.6
11,Idaho,4.6,5.1
12,Illinois,2.8,0.7
13,Indiana,4.0,2.0
14,Iowa,4.7,2.2
15,Kansas,3.5,2.0
16,Kentucky,2.9,1.9
17,Louisiana,2.6,-1.9
18,Maine,1.6,2.5
19,Maryland,2.6,2.6
20,Massachusetts,1.9,2.1
21,Michigan,1.4,1.0
22,Minnesota,3.2,1.7
23,Mississippi,4.2,2.2
24,Missouri,3.0,1.7
25,Montana,3.4,2.6
26,Nebraska,3.4,4.9
27,Nevada,2.8,3.1
28,New Hampshire,1.7,0.9
29,New Jersey,1.3,2.5
30,New Mexico,1.8,1.4
31,New York,-1.1,1.8
32,North Carolina,3.2,3.4
33,North Dakota,4.2,-0.5
34,Ohio,2.5,1.2
35,Oklahoma,1.2,-3.2
36,Oregon,1.9,3.3
37,Pennsylvania,1.5,1.4
38,Rhode Island,1.8,0.5
39,South Carolina,3.1,1.4
40,South Dakota,5.0,4.4
41,Tennessee,1.8,2.3
42,Texas,3.4,-0.5
43,Utah,7.0,3.3
44,Vermont,1.6,0.6
45,Virginia,3.0,2.7
46,Washington,4.2,4.1
47,West Virginia,4.4,-3.0
48,Wisconsin,2.7,0.8
49,Wyoming,1.0,-3.6
