,Unnamed: 0,State,Value_2019,Rank_2019,Value_2020,Rank_2020
0,0,Alabama,5.31,47.0,5.15,45.0
1,1,Alaska,4.13,3.0,4.29,10.0
2,2,Arizona,4.46,19.0,4.41,19.0
3,3,Arkansas,4.78,33.0,4.73,32.0
4,4,California,5.16,41.0,5.07,43.0
5,5,Colorado,4.39,15.0,4.3,11.0
6,6,Connecticut,5.21,43.0,5.26,46.0
7,7,Delaware,4.57,24.0,4.41,19.0
8,8,Florida,4.68,28.0,4.52,25.0
9,9,Georgia,4.87,36.0,4.77,35.0
10,10,Hawaii,4.4,16.0,4.36,15.0
11,11,Idaho,4.14,4.0,3.98,2.0
12,12,Illinois,5.01,39.0,4.97,42.0
13,13,Indiana,4.31,9.0,4.31,12.0
14,14,Iowa,4.21,6.0,4.1,4.0
15,15,Kansas,4.41,18.0,4.27,9.0
16,16,Kentucky,4.93,38.0,4.88,39.0
17,17,Louisiana,5.53,49.0,5.73,49.0
18,18,Maine,4.7,29.0,4.35,14.0
19,19,Maryland,4.51,21.0,4.55,26.0
20,20,Massachusetts,5.48,48.0,5.34,47.0
21,21,Michigan,4.64,26.0,4.49,24.0
22,22,Minnesota,4.31,9.0,4.19,7.0
23,23,Mississippi,5.28,46.0,5.37,48.0
24,24,Missouri,4.52,22.0,4.58,29.0
25,25,Montana,4.35,11.0,4.43,22.0
26,26,Nebraska,4.25,7.0,4.06,3.0
27,27,Nevada,4.35,11.0,4.36,15.0
28,28,New Hampshire,4.55,23.0,4.22,8.0
29,29,New Jersey,5.16,41.0,4.96,41.0
30,30,New Mexico,5.24,45.0,5.07,43.0
31,31,New York,5.83,50.0,5.74,50.0
32,32,North Carolina,4.66,27.0,4.62,30.0
33,33,North Dakota,4.35,11.0,4.39,17.0
34,34,Ohio,4.73,30.0,4.57,27.0
35,35,Oklahoma,4.59,25.0,4.63,31.0
36,36,Oregon,4.47,20.0,4.44,23.0
37,37,Pennsylvania,4.82,34.0,4.73,32.0
38,38,Rhode Island,5.21,43.0,4.81,38.0
39,39,South Carolina,4.74,31.0,4.74,34.0
40,40,South Dakota,3.87,2.0,4.11,5.0
41,41,Tennessee,4.75,32.0,4.57,27.0
42,42,Texas,4.86,35.0,4.78,36.0
43,43,Utah,3.7,1.0,3.7,1.0
44,44,Vermont,4.4,16.0,4.4,18.0
45,45,Virginia,4.87,36.0,4.8,37.0
46,46,Washington,4.38,14.0,4.41,19.0
47,47,West Virginia,5.01,39.0,4.9,40.0
48,48,Wisconsin,4.2,5.0,4.12,6.0
49,49,Wyoming,4.25,7.0,4.33,13.0
50,50,District of Columbia,7.26,,6.27,
51,51,United States,4.93,,4.85,
