,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
37071,2019,2019 Annual,Income Inequality,Alabama,47.0,5.31,0.87,5.56,5.06,"U.S. Census Bureau, American Community Survey",2018
37072,2019,2019 Annual,Income Inequality,Alaska,3.0,4.13,-1.82,4.71,3.55,"U.S. Census Bureau, American Community Survey",2018
37073,2019,2019 Annual,Income Inequality,Arizona,19.0,4.46,-1.07,4.62,4.3,"U.S. Census Bureau, American Community Survey",2018
37074,2019,2019 Annual,Income Inequality,Arkansas,33.0,4.78,-0.34,5.06,4.5,"U.S. Census Bureau, American Community Survey",2018
37075,2019,2019 Annual,Income Inequality,California,41.0,5.16,0.52,5.26,5.06,"U.S. Census Bureau, American Community Survey",2018
37076,2019,2019 Annual,Income Inequality,Colorado,15.0,4.39,-1.23,4.55,4.23,"U.S. Census Bureau, American Community Survey",2018
37077,2019,2019 Annual,Income Inequality,Connecticut,43.0,5.21,0.64,5.5,4.92,"U.S. Census Bureau, American Community Survey",2018
37078,2019,2019 Annual,Income Inequality,Delaware,24.0,4.57,-0.82,4.96,4.18,"U.S. Census Bureau, American Community Survey",2018
37079,2019,2019 Annual,Income Inequality,Florida,28.0,4.68,-0.57,4.8,4.56,"U.S. Census Bureau, American Community Survey",2018
37080,2019,2019 Annual,Income Inequality,Georgia,36.0,4.87,-0.14,5.04,4.7,"U.S. Census Bureau, American Community Survey",2018
37081,2019,2019 Annual,Income Inequality,Hawaii,16.0,4.4,-1.21,4.81,3.99,"U.S. Census Bureau, American Community Survey",2018
37082,2019,2019 Annual,Income Inequality,Idaho,4.0,4.14,-1.8,4.5,3.78,"U.S. Census Bureau, American Community Survey",2018
37083,2019,2019 Annual,Income Inequality,Illinois,39.0,5.01,0.18,5.14,4.88,"U.S. Census Bureau, American Community Survey",2018
37084,2019,2019 Annual,Income Inequality,Indiana,9.0,4.31,-1.41,4.48,4.14,"U.S. Census Bureau, American Community Survey",2018
37085,2019,2019 Annual,Income Inequality,Iowa,6.0,4.21,-1.64,4.4,4.02,"U.S. Census Bureau, American Community Survey",2018
37086,2019,2019 Annual,Income Inequality,Kansas,18.0,4.41,-1.19,4.62,4.2,"U.S. Census Bureau, American Community Survey",2018
37087,2019,2019 Annual,Income Inequality,Kentucky,38.0,4.93,0.0,5.15,4.71,"U.S. Census Bureau, American Community Survey",2018
37088,2019,2019 Annual,Income Inequality,Louisiana,49.0,5.53,1.37,5.84,5.22,"U.S. Census Bureau, American Community Survey",2018
37089,2019,2019 Annual,Income Inequality,Maine,29.0,4.7,-0.52,5.11,4.29,"U.S. Census Bureau, American Community Survey",2018
37090,2019,2019 Annual,Income Inequality,Maryland,21.0,4.51,-0.96,4.68,4.34,"U.S. Census Bureau, American Community Survey",2018
37091,2019,2019 Annual,Income Inequality,Massachusetts,48.0,5.48,1.25,5.73,5.23,"U.S. Census Bureau, American Community Survey",2018
37092,2019,2019 Annual,Income Inequality,Michigan,26.0,4.64,-0.66,4.77,4.51,"U.S. Census Bureau, American Community Survey",2018
37093,2019,2019 Annual,Income Inequality,Minnesota,9.0,4.31,-1.41,4.43,4.19,"U.S. Census Bureau, American Community Survey",2018
37094,2019,2019 Annual,Income Inequality,Mississippi,46.0,5.28,0.8,5.63,4.93,"U.S. Census Bureau, American Community Survey",2018
37095,2019,2019 Annual,Income Inequality,Missouri,22.0,4.52,-0.94,4.7,4.34,"U.S. Census Bureau, American Community Survey",2018
37096,2019,2019 Annual,Income Inequality,Montana,11.0,4.35,-1.32,4.77,3.93,"U.S. Census Bureau, American Community Survey",2018
37097,2019,2019 Annual,Income Inequality,Nebraska,7.0,4.25,-1.55,4.45,4.05,"U.S. Census Bureau, American Community Survey",2018
37098,2019,2019 Annual,Income Inequality,Nevada,11.0,4.35,-1.32,4.6,4.1,"U.S. Census Bureau, American Community Survey",2018
37099,2019,2019 Annual,Income Inequality,New Hampshire,23.0,4.55,-0.87,4.87,4.23,"U.S. Census Bureau, American Community Survey",2018
37100,2019,2019 Annual,Income Inequality,New Jersey,41.0,5.16,0.52,5.33,4.99,"U.S. Census Bureau, American Community Survey",2018
37101,2019,2019 Annual,Income Inequality,New Mexico,45.0,5.24,0.71,5.72,4.76,"U.S. Census Bureau, American Community Survey",2018
37102,2019,2019 Annual,Income Inequality,New York,50.0,5.83,2.0,6.01,5.65,"U.S. Census Bureau, American Community Survey",2018
37103,2019,2019 Annual,Income Inequality,North Carolina,27.0,4.66,-0.62,4.84,4.48,"U.S. Census Bureau, American Community Survey",2018
37104,2019,2019 Annual,Income Inequality,North Dakota,11.0,4.35,-1.32,4.82,3.88,"U.S. Census Bureau, American Community Survey",2018
37105,2019,2019 Annual,Income Inequality,Ohio,30.0,4.73,-0.46,4.86,4.6,"U.S. Census Bureau, American Community Survey",2018
37106,2019,2019 Annual,Income Inequality,Oklahoma,25.0,4.59,-0.78,4.74,4.44,"U.S. Census Bureau, American Community Survey",2018
37107,2019,2019 Annual,Income Inequality,Oregon,20.0,4.47,-1.05,4.68,4.26,"U.S. Census Bureau, American Community Survey",2018
37108,2019,2019 Annual,Income Inequality,Pennsylvania,34.0,4.82,-0.25,4.94,4.7,"U.S. Census Bureau, American Community Survey",2018
37109,2019,2019 Annual,Income Inequality,Rhode Island,43.0,5.21,0.64,5.98,4.44,"U.S. Census Bureau, American Community Survey",2018
37110,2019,2019 Annual,Income Inequality,South Carolina,31.0,4.74,-0.43,4.94,4.54,"U.S. Census Bureau, American Community Survey",2018
37111,2019,2019 Annual,Income Inequality,South Dakota,2.0,3.87,-2.0,4.19,3.55,"U.S. Census Bureau, American Community Survey",2018
37112,2019,2019 Annual,Income Inequality,Tennessee,32.0,4.75,-0.41,4.93,4.57,"U.S. Census Bureau, American Community Survey",2018
37113,2019,2019 Annual,Income Inequality,Texas,35.0,4.86,-0.16,4.96,4.76,"U.S. Census Bureau, American Community Survey",2018
37114,2019,2019 Annual,Income Inequality,Utah,1.0,3.7,-2.0,3.9,3.5,"U.S. Census Bureau, American Community Survey",2018
37115,2019,2019 Annual,Income Inequality,Vermont,16.0,4.4,-1.21,4.91,3.89,"U.S. Census Bureau, American Community Survey",2018
37116,2019,2019 Annual,Income Inequality,Virginia,36.0,4.87,-0.14,5.05,4.69,"U.S. Census Bureau, American Community Survey",2018
37117,2019,2019 Annual,Income Inequality,Washington,14.0,4.38,-1.25,4.52,4.24,"U.S. Census Bureau, American Community Survey",2018
37118,2019,2019 Annual,Income Inequality,West Virginia,39.0,5.01,0.18,5.39,4.63,"U.S. Census Bureau, American Community Survey",2018
37119,2019,2019 Annual,Income Inequality,Wisconsin,5.0,4.2,-1.66,4.32,4.08,"U.S. Census Bureau, American Community Survey",2018
37120,2019,2019 Annual,Income Inequality,Wyoming,7.0,4.25,-1.55,4.8,3.7,"U.S. Census Bureau, American Community Survey",2018
37121,2019,2019 Annual,Income Inequality,District of Columbia,,7.26,,8.6,5.92,"U.S. Census Bureau, American Community Survey",2018
37122,2019,2019 Annual,Income Inequality,United States,,4.93,,4.96,4.9,"U.S. Census Bureau, American Community Survey",2018
