,Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
31876,2020,2020 Annual,Income Inequality,Alabama,45.0,5.15,0.7,5.41,4.89,AHR data,
31877,2020,2020 Annual,Income Inequality,Alaska,10.0,4.29,-1.31,4.82,3.76,AHR data,
31878,2020,2020 Annual,Income Inequality,Arizona,19.0,4.41,-1.03,4.59,4.23,AHR data,
31879,2020,2020 Annual,Income Inequality,Arkansas,32.0,4.73,-0.28,5.0,4.46,AHR data,
31880,2020,2020 Annual,Income Inequality,California,43.0,5.07,0.51,5.15,4.99,AHR data,
31881,2020,2020 Annual,Income Inequality,Colorado,11.0,4.3,-1.29,4.53,4.07,AHR data,
31882,2020,2020 Annual,Income Inequality,Connecticut,46.0,5.26,0.96,5.51,5.01,AHR data,
31883,2020,2020 Annual,Income Inequality,Delaware,19.0,4.41,-1.03,4.89,3.93,AHR data,
31884,2020,2020 Annual,Income Inequality,Florida,25.0,4.52,-0.77,4.62,4.42,AHR data,
31885,2020,2020 Annual,Income Inequality,Georgia,35.0,4.77,-0.19,4.93,4.61,AHR data,
31886,2020,2020 Annual,Income Inequality,Hawaii,15.0,4.36,-1.15,4.88,3.84,AHR data,
31887,2020,2020 Annual,Income Inequality,Idaho,2.0,3.98,-2.0,4.33,3.63,AHR data,
31888,2020,2020 Annual,Income Inequality,Illinois,42.0,4.97,0.28,5.14,4.8,AHR data,
31889,2020,2020 Annual,Income Inequality,Indiana,12.0,4.31,-1.26,4.47,4.15,AHR data,
31890,2020,2020 Annual,Income Inequality,Iowa,4.0,4.1,-1.75,4.32,3.88,AHR data,
31891,2020,2020 Annual,Income Inequality,Kansas,9.0,4.27,-1.36,4.53,4.01,AHR data,
31892,2020,2020 Annual,Income Inequality,Kentucky,39.0,4.88,0.07,5.14,4.62,AHR data,
31893,2020,2020 Annual,Income Inequality,Louisiana,49.0,5.73,2.0,6.07,5.39,AHR data,
31894,2020,2020 Annual,Income Inequality,Maine,14.0,4.35,-1.17,4.65,4.05,AHR data,
31895,2020,2020 Annual,Income Inequality,Maryland,26.0,4.55,-0.7,4.76,4.34,AHR data,
31896,2020,2020 Annual,Income Inequality,Massachusetts,47.0,5.34,1.15,5.53,5.15,AHR data,
31897,2020,2020 Annual,Income Inequality,Michigan,24.0,4.49,-0.84,4.61,4.37,AHR data,
31898,2020,2020 Annual,Income Inequality,Minnesota,7.0,4.19,-1.54,4.35,4.03,AHR data,
31899,2020,2020 Annual,Income Inequality,Mississippi,48.0,5.37,1.22,5.8,4.94,AHR data,
31900,2020,2020 Annual,Income Inequality,Missouri,29.0,4.58,-0.63,4.77,4.39,AHR data,
31901,2020,2020 Annual,Income Inequality,Montana,22.0,4.43,-0.98,4.82,4.04,AHR data,
31902,2020,2020 Annual,Income Inequality,Nebraska,3.0,4.06,-1.85,4.35,3.77,AHR data,
31903,2020,2020 Annual,Income Inequality,Nevada,15.0,4.36,-1.15,4.65,4.07,AHR data,
31904,2020,2020 Annual,Income Inequality,New Hampshire,8.0,4.22,-1.47,4.61,3.83,AHR data,
31905,2020,2020 Annual,Income Inequality,New Jersey,41.0,4.96,0.26,5.18,4.74,AHR data,
31906,2020,2020 Annual,Income Inequality,New Mexico,43.0,5.07,0.51,5.4,4.74,AHR data,
31907,2020,2020 Annual,Income Inequality,New York,50.0,5.74,2.0,5.88,5.6,AHR data,
31908,2020,2020 Annual,Income Inequality,North Carolina,30.0,4.62,-0.54,4.8,4.44,AHR data,
31909,2020,2020 Annual,Income Inequality,North Dakota,17.0,4.39,-1.08,4.91,3.87,AHR data,
31910,2020,2020 Annual,Income Inequality,Ohio,27.0,4.57,-0.66,4.69,4.45,AHR data,
31911,2020,2020 Annual,Income Inequality,Oklahoma,31.0,4.63,-0.51,4.82,4.44,AHR data,
31912,2020,2020 Annual,Income Inequality,Oregon,23.0,4.44,-0.96,4.67,4.21,AHR data,
31913,2020,2020 Annual,Income Inequality,Pennsylvania,32.0,4.73,-0.28,4.85,4.61,AHR data,
31914,2020,2020 Annual,Income Inequality,Rhode Island,38.0,4.81,-0.09,5.41,4.21,AHR data,
31915,2020,2020 Annual,Income Inequality,South Carolina,34.0,4.74,-0.26,4.99,4.49,AHR data,
31916,2020,2020 Annual,Income Inequality,South Dakota,5.0,4.11,-1.73,4.49,3.73,AHR data,
31917,2020,2020 Annual,Income Inequality,Tennessee,27.0,4.57,-0.66,4.77,4.37,AHR data,
31918,2020,2020 Annual,Income Inequality,Texas,36.0,4.78,-0.16,4.9,4.66,AHR data,
31919,2020,2020 Annual,Income Inequality,Utah,1.0,3.7,-2.0,3.92,3.48,AHR data,
31920,2020,2020 Annual,Income Inequality,Vermont,18.0,4.4,-1.05,4.8,4.0,AHR data,
31921,2020,2020 Annual,Income Inequality,Virginia,37.0,4.8,-0.12,4.96,4.64,AHR data,
31922,2020,2020 Annual,Income Inequality,Washington,19.0,4.41,-1.03,4.58,4.24,AHR data,
31923,2020,2020 Annual,Income Inequality,West Virginia,40.0,4.9,0.12,5.31,4.49,AHR data,
31924,2020,2020 Annual,Income Inequality,Wisconsin,6.0,4.12,-1.71,4.28,3.96,AHR data,
31925,2020,2020 Annual,Income Inequality,Wyoming,13.0,4.33,-1.22,4.87,3.79,AHR data,
31926,2020,2020 Annual,Income Inequality,District of Columbia,,6.27,,7.44,5.1,AHR data,
31927,2020,2020 Annual,Income Inequality,United States,,4.85,,4.88,4.82,AHR data,
