,NAME,B25064_001E,state
12,Hawaii,1617,15
7,District of Columbia,1541,11
4,California,1503,06
20,Maryland,1392,24
30,New Jersey,1334,34
21,Massachusetts,1282,25
32,New York,1280,36
5,Colorado,1271,08
47,Washington,1258,53
1,Alaska,1244,02
46,Virginia,1234,51
8,Connecticut,1180,09
9,Florida,1175,12
6,Delaware,1130,10
29,New Hampshire,1111,33
37,Oregon,1110,41
28,Nevada,1107,32
2,Arizona,1052,04
43,Texas,1045,48
45,Utah,1037,49
13,Illinois,1010,17
10,Georgia,1006,13
39,Rhode Island,1004,44
44,Vermont,985,50
23,Minnesota,977,27
38,Pennsylvania,938,42
33,North Carolina,907,37
40,South Carolina,894,45
22,Michigan,871,26
42,Tennessee,869,47
18,Louisiana,866,22
49,Wisconsin,856,55
50,Wyoming,855,56
19,Maine,853,23
11,Idaho,853,16
16,Kansas,850,20
31,New Mexico,844,35
27,Nebraska,833,31
25,Missouri,830,29
34,North Dakota,826,38
14,Indiana,826,18
36,Oklahoma,810,40
26,Montana,810,30
35,Ohio,808,39
0,Alabama,792,01
15,Iowa,789,19
24,Mississippi,780,28
17,Kentucky,763,21
41,South Dakota,747,46
3,Arkansas,745,05
48,West Virginia,725,54
51,Puerto Rico,478,72
