,NAME,state,bucket
7,District of Columbia,11,1.2106508648055871
20,Maryland,24,1.2827581768056553
30,New Jersey,34,1.3208457521559664
21,Massachusetts,25,1.5067822013236816
8,Connecticut,09,1.5096738083010681
12,Hawaii,15,1.6267429388630676
4,California,06,1.6501606820966035
46,Virginia,51,1.7668137019405745
29,New Hampshire,33,1.8821250917393786
1,Alaska,02,1.9256926377287873
47,Washington,53,1.9354384954477992
5,Colorado,08,2.1197766857361198
32,New York,36,2.211062860505583
23,Minnesota,27,2.4400950247264217
45,Utah,49,2.6435151921572384
13,Illinois,17,2.750860967720247
6,Delaware,10,2.8886716458765105
43,Texas,48,3.1777555469909826
39,Rhode Island,44,3.357977188401814
37,Oregon,41,3.542427816614405
38,Pennsylvania,42,3.6346588705587544
34,North Dakota,38,3.7484698808117685
10,Georgia,13,3.9306849776383284
2,Arizona,04,4.094403290011336
44,Vermont,50,4.261391560766692
28,Nevada,32,4.2910413515305
9,Florida,12,4.320119748562628
16,Kansas,20,4.457174151150054
27,Nebraska,31,4.520149055097152
49,Wisconsin,55,4.60435261564617
50,Wyoming,56,4.7425127142588055
22,Michigan,26,4.837871592674887
33,North Carolina,37,4.9521483145857905
15,Iowa,19,5.024190348016633
35,Ohio,39,5.299602205317886
25,Missouri,29,5.4038681985468395
19,Maine,23,5.528686139881299
41,South Dakota,46,5.573955976136597
42,Tennessee,47,5.8130427434347665
14,Indiana,18,5.93304894270905
40,South Carolina,45,6.081092654781491
11,Idaho,16,6.136465942744324
26,Montana,30,6.251053682342502
36,Oklahoma,40,6.479393066299208
18,Louisiana,22,7.08989208989209
0,Alabama,01,7.614159152448803
31,New Mexico,35,7.755566082425391
17,Kentucky,21,7.786479339331354
3,Arkansas,05,8.95316403502389
48,West Virginia,54,10.98718355146959
24,Mississippi,28,11.769491525423728
51,Puerto Rico,72,68.36332584269663
