,State,Value_2019,Value_2018
0,Maine,4.1,1.9
1,Washington,4.0,4.7
2,Utah,3.8,5.2
3,Arizona,3.6,3.7
4,Idaho,3.6,4.9
5,Kansas,3.6,2.9
6,North Dakota,3.3,3.9
7,California,3.0,3.0
8,Texas,3.0,4.8
9,Colorado,2.9,5.5
10,North Carolina,2.9,2.9
11,New York,2.8,1.6
12,Oklahoma,2.8,3.1
13,South Carolina,2.8,2.7
14,Alaska,2.6,2.6
15,Indiana,2.5,3.5
16,Iowa,2.5,4.3
17,Mississippi,2.5,0.4
18,United States,2.4,3.1
19,New Jersey,2.4,1.0
20,Oregon,2.3,3.9
21,Vermont,2.3,1.6
22,Alabama,2.2,1.9
23,Florida,2.2,3.9
24,New Hampshire,2.2,3.4
25,Pennsylvania,2.2,3.1
26,Kentucky,2.1,1.2
27,Missouri,2.1,2.9
28,Nebraska,2.1,3.2
29,South Dakota,2.1,5.0
30,Virginia,2.1,2.5
31,Connecticut,2.0,2.9
32,Georgia,2.0,3.3
33,Nevada,2.0,3.8
34,New Mexico,2.0,4.3
35,Tennessee,2.0,3.0
36,Massachusetts,1.9,2.5
37,Arkansas,1.8,3.4
38,Montana,1.8,3.6
39,Wisconsin,1.8,3.5
40,District of Columbia,1.7,1.4
41,Maryland,1.7,2.0
42,Ohio,1.7,2.7
43,Delaware,1.6,4.2
44,Louisiana,1.6,3.4
45,Michigan,1.6,2.4
46,Illinois,1.4,3.1
47,Minnesota,1.3,3.6
48,West Virginia,1.3,2.3
49,Hawaii,0.7,1.6
50,Rhode Island,0.7,1.4
51,Wyoming,0.7,6.8
