State,Value_2019,Value_2018
Mississippi,84.4,85.6
Arkansas,84.7,84.7
Alabama,85.8,85.9
West Virginia,87.1,87.7
Oklahoma,87.2,87.7
Kentucky,87.4,87.5
South Dakota,87.8,88.1
Louisiana,87.9,88.5
Ohio,88.4,88.5
Indiana,88.7,89.2
Missouri,88.7,88.7
Iowa,89,89.4
Kansas,89.2,90
North Dakota,89.3,90.7
Nebraska,89.5,89.6
Tennessee,89.7,89.3
New Mexico,91.1,90.5
South Carolina,91.5,91
North Carolina,91.7,91.7
Wisconsin,91.9,91.9
Idaho,92.2,92
Michigan,92.3,92.3
Wyoming,92.8,92.3
Georgia,93.2,93.1
Montana,93.5,92.9
Arizona,96.3,96.4
Texas,96.5,96.5
Utah,96.5,96
Pennsylvania,97,97.1
Illinois,97.4,97.8
Nevada,97.4,96.8
Minnesota,98,97.7
Maine,99.3,100.6
Delaware,99.4,98.7
United States,100,100
Florida,101,100.7
Rhode Island,101.3,99.9
Virginia,101.3,101.6
Colorado,101.9,101.3
Oregon,102.2,101.8
Vermont,103.1,103.7
Connecticut,105,105.5
Alaska,105.1,105.7
New Hampshire,106.5,106.4
Maryland,107.7,107.7
Washington,108.4,108.6
Massachusetts,110.4,110.3
District of Columbia,115.2,115.2
New Jersey,116,116.1
New York,116.3,116.7
California,116.4,116.2
Hawaii,119.3,118.5
